NumMotors,positionAmplitude[deg],Lambda,Frequency[Hz],
8,20,10,0.5
absReceived_ts[s],absReceived_ts[us],0GoalPosition[rad],1GoalPosition[rad],2GoalPosition[rad],3GoalPosition[rad],4GoalPosition[rad],5GoalPosition[rad],6GoalPosition[rad],7GoalPosition[rad],0FbckPosition[rad],1FbckPosition[rad],2FbckPosition[rad],3FbckPosition[rad],4FbckPosition[rad],5FbckPosition[rad],6FbckPosition[rad],7FbckPosition[rad],0FbckCurrent[mA],1FbckCurrent[mA],2FbckCurrent[mA],3FbckCurrent[mA],4FbckCurrent[mA],5FbckCurrent[mA],6FbckCurrent[mA],7FbckCurrent[mA],0FbckVoltage[volts],1FbckVoltage[volts],2FbckVoltage[volts],3FbckVoltage[volts],4FbckVoltage[volts],5FbckVoltage[volts],6FbckVoltage[volts],7FbckVoltage[volts],ax,ay,az,Wx,Wy,Wz
1756735984,702416,-0.000162390722404063728807541,0.000803428272231721885346389,0.00168920079059493399679936,0.00207272553545240602670963,0.00162650202035760117758034,0.000308703643014503041359237,-0.00152553549978277761846324,-0.00317686895674627574684412,-0.00383588522588522613798734,0.00230153113553113524911153,0.00230153113553113524911153,-0.00383588522588522613798734,-0.00383588522588522613798734,0.00537023931623931572582054,-0.00076717704517704511917725,-0.00230153113553113524911153,0,0,-5.38000011444091796875,0,0,0,0,0,11.8999996185302734375,11.69999980926513671875,11.8999996185302734375,11.69999980926513671875,11.69999980926513671875,11.69999980926513671875,11.69999980926513671875,11.69999980926513671875,0.0181169994175434112548828,0.0608779974281787872314453,-0.973071992397308349609375,0,-3.5699999332427978515625,-0.769999980926513671875
1756735984,718415,-0.000485873884470132172581913,0.00144389990400033054601669,0.00328606443453327437889677,0.00418657777047875753750894,0.00344858748776808148733819,0.000923642902507243760898414,-0.00274165179122567428601775,-0.00618008004143783505612841,-0.00383588522588522613798734,0.00230153113553113524911153,0.00076717704517704511917725,-0.00383588522588522613798734,-0.00383588522588522613798734,0.00537023931623931572582054,-0.00076717704517704511917725,-0.00230153113553113524911153,53.8000030517578125,0,0,91.45999908447265625,88.7700042724609375,-67.25,0,0,11.80000019073486328125,11.69999980926513671875,11.69999980926513671875,11.6000003814697265625,11.6000003814697265625,11.5,11.5,11.6000003814697265625,0.015615999698638916015625,0.0609999969601631164550781,-0.976365983486175537109375,0.140000000596046447753906,-4.19999980926513671875,-0.910000026226043701171875
1756735984,734399,-0.000968119551025155983259296,0.00191449089037322634811178,0.00477483310380317962223762,0.00632148060073608932668554,0.00544971921934940366216704,0.00184038858778764655675653,-0.00363520169530795076925922,-0.00897999760926839266095278,-0.00383588522588522613798734,0.00230153113553113524911153,0.00230153113553113524911153,-0.00383588522588522613798734,-0.00383588522588522613798734,0.00690459340659340618101547,-0.00076717704517704511917725,-0.00383588522588522613798734,40.350002288818359375,0,5.38000011444091796875,94.15000152587890625,80.70000457763671875,-64.55999755859375,0,-13.450000762939453125,11.80000019073486328125,11.6000003814697265625,11.69999980926513671875,11.6000003814697265625,11.6000003814697265625,11.5,11.5,11.5,0.00963800027966499328613281,0.0616709999740123748779297,-0.978195965290069580078125,0.140000000596046447753906,-4.61999988555908203125,-0.84000003337860107421875
1756735984,766400,-0.00160577772555125760159389,0.00220934865231437946309079,0.00614040652386343022844928,0.00845718054106574940176344,0.00761218000114948206008547,0.00305257237858565537089173,-0.00419507243769326985949331,-0.011548222671973536190837,-0.00383588522588522613798734,0.00230153113553113524911153,0.00076717704517704511917725,-0.00230153113553113524911153,-0.00230153113553113524911153,0.00537023931623931572582054,-0.00076717704517704511917725,-0.00383588522588522613798734,61.87000274658203125,0,51.1100006103515625,104.910003662109375,78.01000213623046875,-34.970001220703125,0,0,11.80000019073486328125,11.6000003814697265625,11.3999996185302734375,11.5,11.5,11.5,11.3999996185302734375,11.5,0.00817400030791759490966797,0.0581940002739429473876953,-0.987163007259368896484375,0.349999994039535522460938,-4.690000057220458984375,0.210000008344650268554688
1756735984,782352,-0.00239449498348319553958641,0.002323724785887376978466,0.00736842374549826276131093,0.0105733550333730226544748,0.00991716600766727636451225,0.00455191844483546995819845,-0.00441224783234154052657949,-0.0138577466856270540424001,-0.00383588522588522613798734,0.00076717704517704511917725,0.00230153113553113524911153,-0.00076717704517704511917725,-0.00076717704517704511917725,0.00537023931623931572582054,-0.00230153113553113524911153,-0.00690459340659340618101547,51.1100006103515625,0,53.8000030517578125,80.70000457763671875,72.6300048828125,-24.2100009918212890625,0,2.690000057220458984375,11.80000019073486328125,11.6000003814697265625,11.69999980926513671875,11.5,11.5,11.5,11.3999996185302734375,11.5,0.0178730003535747528076172,0.0605730004608631134033203,-0.991066992282867431640625,0.349999994039535522460938,-4.269999980926513671875,2.8700001239776611328125
1756735984,798344,-0.00332893507745607355324813,0.0022540017174641235365995,0.00844533881630483464209025,0.0126497174107016909644363,0.0123448819772647658959963,0.00632828261710928485772598,-0.00427985889395130630896702,-0.0158830938655159931149896,-0.00383588522588522613798734,0.00076717704517704511917725,0.00230153113553113524911153,0.00076717704517704511917725,0.00076717704517704511917725,0.00537023931623931572582054,-0.00230153113553113524911153,-0.00843894749694749750357214,0,0,53.8000030517578125,96.84000396728515625,96.84000396728515625,-21.520000457763671875,0,-5.38000011444091796875,11.80000019073486328125,11.6000003814697265625,11.69999980926513671875,11.5,11.5,11.5,11.3999996185302734375,11.5,-0.00323299993760883808135986,0.0595359988510608673095703,-0.99173796176910400390625,0.280000001192092895507812,-4.19999980926513671875,3.28999996185302734375
1756735984,814371,-0.00440280660732079911351411,0.00199771613226707583921282,0.00935849962219394843065956,0.0146661318929925885146126,0.0148746507548012645710811,0.00836970498712579641376053,-0.00379322832366446463861487,-0.0176004694628390419286479,-0.00383588522588522613798734,0.00076717704517704511917725,0.00230153113553113524911153,0.00230153113553113524911153,0.00230153113553113524911153,0.00537023931623931572582054,-0.00230153113553113524911153,-0.0115076556776556766792385,0,0,88.7700042724609375,107.600006103515625,96.84000396728515625,0,0,-18.8299999237060546875,11.80000019073486328125,11.6000003814697265625,11.5,11.5,11.5,11.5,11.3999996185302734375,11.5,-0.0012199999764561653137207,0.0613049976527690887451172,-0.99631297588348388671875,-0.210000008344650268554688,-3.2200000286102294921875,3.9200000762939453125
1756735984,830381,-0.00560889133542322951969661,0.00155357362978158163556441,0.0100962114030841883238754,0.0166027117022820233649405,0.0174850116234206952314789,0.0106624637349005332853658,-0.00294989833650592713290561,-0.0189878792182600064641917,-0.00383588522588522613798734,0.00076717704517704511917725,0.00383588522588522613798734,0.00537023931623931572582054,0.00383588522588522613798734,0.00537023931623931572582054,-0.00230153113553113524911153,-0.0130420097680097671344335,0,0,67.25,107.600006103515625,96.84000396728515625,34.970001220703125,0,-8.06999969482421875,11.80000019073486328125,11.6000003814697265625,11.69999980926513671875,11.5,11.5,11.5,11.3999996185302734375,11.5,-0.00921100005507469177246094,0.0602679997682571411132812,-0.9981429576873779296875,-0.4900000095367431640625,-2.6600000858306884765625,4.61999988555908203125
1756735984,862309,-0.0069390826363498999199142,0.000921461251244487500842995,0.0106478094218339456450417,0.018439936817695696397168,0.0201538429399859969626263,0.0131911482214472092905355,-0.00174965444835912826287982,-0.0200252660298963353069368,-0.00383588522588522613798734,-0.00076717704517704511917725,0.00383588522588522613798734,0.00690459340659340618101547,0.00690459340659340618101547,0.00537023931623931572582054,-0.00230153113553113524911153,-0.0161107179487179480448233,-5.38000011444091796875,18.8299999237060546875,72.6300048828125,107.600006103515625,91.45999908447265625,53.8000030517578125,0,2.690000057220458984375,11.80000019073486328125,11.6000003814697265625,11.69999980926513671875,11.5,11.5,11.5,11.3999996185302734375,11.5,-0.0020739999599754810333252,0.0610609985888004302978516,-0.996861994266510009765625,-0.560000002384185791015625,-1.88999998569488525390625,7.139999866485595703125
1756735984,878378,-0.00838442004654241235250822,0.000102451302691209593202781,0.0110037105707947030497351,0.0201587441821111136575073,0.0228584613510407486103304,0.0159387246673563520715788,-0.000194532735100648511254728,-0.0206946070094287601359717,-0.00383588522588522613798734,0.00076717704517704511917725,0.00537023931623931572582054,0.00843894749694749750357214,0.0099733015873015862240436,0.00537023931623931572582054,-0.00230153113553113524911153,-0.0176450720390720385000183,-5.38000011444091796875,0,56.490001678466796875,88.7700042724609375,83.3899993896484375,56.490001678466796875,0,0,11.80000019073486328125,11.6000003814697265625,11.69999980926513671875,11.6000003814697265625,11.5,11.5,11.3999996185302734375,11.5,0.00701500009745359420776367,0.0628300011157989501953125,-0.99551999568939208984375,-0.560000002384185791015625,-1.4700000286102294921875,8.18999958038330078125
