time,x_Head,x_Hindbrain,x_SC 1,x_SC 2,x_SC 3,x_SC 4,x_SC 5,x_SC 6,x_SC 7,x_SC 8,y_Head,y_Hindbrain,y_SC 1,y_SC 2,y_SC 3,y_SC 4,y_SC 5,y_SC 6,y_SC 7,y_SC 8
0.0,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.013285753537477093,0.00693647360544815,0.004984380945829342,-0.0004625399017957458,-0.007513773183898302,-0.015939041526600306,-0.024528355100451444,-0.026589591160152685,-0.03209887623594912,-0.012090056238586978
0.001,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.013435927112386739,0.007343824646140901,0.004995462328668387,-0.0004730540043371902,-0.007906295158195891,-0.016048395708011892,-0.024699214270801892,-0.02664714440305511,-0.0332730613527491,-0.012813514410001782
0.002,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.01358831628918624,0.00775356110456757,0.0050092252562776995,-0.0004842670219123789,-0.008303190439869353,-0.01615570221023799,-0.024870368881911502,-0.02671248543451974,-0.03444810921821324,-0.013564826468403878
0.003,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.013742771370927847,0.008165064867430384,0.005025721906180576,-0.0004961271706783927,-0.008703810241569309,-0.01626052625523731,-0.02504156585859507,-0.026785765741509975,-0.03562247098655782,-0.014344066868209354
0.004,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.013899135802792227,0.008577707015106989,0.005045000026746494,-0.0005085769884464107,-0.009107476361151487,-0.0163624235921228,-0.025212545064135405,-0.0268671183007493,-0.036794597080575205,-0.015151263185384121
0.005,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.014057246284575319,0.008990849637890036,0.0050671028860087754,-0.0005215532990088813,-0.00951348222326198,-0.016460941389388997,-0.025383039428568673,-0.026956656570836523,-0.037962941406673806,-0.015986394962482168
0.006,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.01421693289029635,0.009403847723271092,0.005092069243110441,-0.0005349871941086233,-0.009921094049530812,-0.01655561916000848,-0.025552775075660457,-0.02705447351809748,-0.03912596556473285,-0.016849392671105558
0.007,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.014378019194363855,0.009816051108917088,0.005119933342693495,-0.0005488040335737035,-0.010329552157288351,-0.016645989716553043,-0.025721471448494345,-0.027160640680405326,-0.040282143037176796,-0.017740136798652426
0.008,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.014540322403717044,0.010226806495435002,0.0051507249324105825,-0.0005629234640990487,-0.010738072385883334,-0.016731580153468803,-0.02588884143369475,-0.027275207273210606,-0.041429963341516975,-0.01865845706571275
0.009000000000000001,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.014703653495341936,0.010635459512463533,0.00518446930359519,-0.00057725945711044,-0.011145847648800666,-0.01681191285362801,-0.026054591484408626,-0.02739819934201595,-0.042567936130500104,-0.01960413177990092
0.01,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.014867817358545735,0.01104135683107545,0.005221187354977538,-0.000591720366098437,-0.011552049608863572,-0.01688650651629163,-0.02621842174227712,-0.027529618965505636,-0.043694595223952575,-0.02057688733128534
0.011,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.015032612941360065,0.011443848314927946,0.005260895679178149,-0.0006062090037585437,-0.011955830472870391,-0.016954877203642877,-0.02638002615873868,-0.027669443513495724,-0.044808502556424615,-0.02157639783389606
0.012,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.015197833400434374,0.011842289202067546,0.005303606671550082,-0.0006206227392191912,-0.012356324901074677,-0.01701653940308996,-0.02653909261611986,-0.027817624963803942,-0.045908252024827415,-0.022602284917068973
0.013000000000000001,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.015363266253775676,0.012236042308788114,0.005349328660774319,-0.0006348536155805548,-0.012752652025981212,-0.017071007102583628,-0.026695303049089195,-0.027974089282047487,-0.046992473220426816,-0.023654117669628525
0.014,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.015528693535690707,0.012624480246462143,0.005398066060441317,-0.0006487884879245692,-0.013143917574013304,-0.017117794876248187,-0.02684833356717342,-0.028138735868260073,-0.04805983502981633,-0.024731412739127556
0.015,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.015693891953292127,0.013006987641823566,0.005449819540675879,-0.0006623091818895136,-0.01352921608272113,-0.017156418977681446,-0.026997854579163576,-0.028311437074075137,-0.049109049089845716,-0.025833634587562118
0.016,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.01585863304394219,0.013382963350781587,0.005504586218683187,-0.0006752926728310645,-0.013907633205358878,-0.0171863984383363,-0.02714353092037033,-0.028492037794048998,-0.050138873081933946,-0.026960195904168722
0.017,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.016022683333025638,0.0137518226554952,0.005562359866911818,-0.0006876112855156563,-0.014278248093871694,-0.01720725616845253,-0.02728502198382332,-0.028680355134494614,-0.051148113851750485,-0.028110458175099894
0.018000000000000002,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.016185804491469304,0.014112999434143283,0.005623131137346209,-0.000699132914211353,-0.014640135850612138,-0.01721852005805916,-0.027421981856646575,-0.028876178162962837,-0.05213563034090778,-0.029283732408968748
0.019,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.016347753492458844,0.014465948292590215,0.005686887800257475,-0.0007097212629562992,-0.014992370038459497,-0.017219724075614215,-0.027554059462980243,-0.02907926774124395,-0.053100336318072004,-0.03047928001646201
0.02,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.016508282766843643,0.014810146646976384,0.005753614995559272,-0.0007192361056953691,-0.01533402523845177,-0.017210409361888248,-0.027680898714956048,-0.029289356444466924,-0.05404120289776511,-0.03169631384145036
0.021,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.016667140356769465,0.015145096746160686,0.005823295494736141,-0.0007275335658821302,-0.01566417964356648,-0.017190125316729418,-0.02780213867336831,-0.02950614856854855,-0.054957260836097754,-0.03293399934028119
0.022,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.016824070067134485,0.015470327622911319,0.005895909971137281,-0.000734466415046062,-0.015981917676907702,-0.01715843067637081,-0.027917413719811872,-0.029729320227890026,-0.055847602593733656,-0.034191455905227555
0.023,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.016978811614528085,0.015785396962783936,0.005971437276260943,-0.0007398843897245853,-0.01628633262227685,-0.017114894578954737,-0.028026353742180033,-0.02995851954483577,-0.05671138415753461,-0.035467758327393135
0.024,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.0171311007733827,0.0160898928797445,0.0060498547194956795,-0.0007436345260564042,-0.016576529254926267,-0.01705909761595396,-0.028128584335527385,-0.03019336693200044,-0.0575478266135638,-0.03676193839374052
0.025,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.0172806695191469,0.016383435587788608,0.006131138348636692,-0.0007455615112276123,-0.01685162646021824,-0.01699063286716699,-0.02822372702040107,-0.030433455468136892,-0.05835621746542332,-0.038072986612322175
0.026000000000000002,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.017427246168372008,0.01666567895807983,0.006215263228360876,-0.0007455080508556563,-0.01711075982793728,-0.01690910691695445,-0.02831139948082621,-0.03067835136776322,-0.059135911693258145,-0.039399854059253024
0.027,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.017570555515694607,0.016936311951475887,0.006302203713725158,-0.0007433152512894156,-0.017353084210128582,-0.016814140849367318,-0.028391215824194516,-0.030927594544293512,-0.059886332550161125,-0.04074145434047282
0.028,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.017710318967792012,0.017195059916732248,0.00639193371565179,-0.0007388230156971802,-0.017577776230556733,-0.01670537121979749,-0.028462786865346007,-0.031180699265927918,-0.06060697209414829,-0.04209666566090595
0.029,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.017846254674486778,0.017441685745165567,0.0064844269552838925,-0.0007318704527091206,-0.017784036734192165,-0.01658245100075773,-0.028525720437149068,-0.03143715490305688,-0.061297391455325916,-0.04346433299323708
0.03,0.0,0.10317864015808555,0.2248080783647353,0.3418378948110458,0.4559282596216492,0.5773717846248656,0.6896214467926259,0.7994842849209485,0.8973445860961264,1.0,0.017978077657278317,0.01767599087312169,0.006579657204037061,-0.000722296296277887,-0.01797109316553233,-0.016445050499374475,-0.02857962172987106,-0.031696426765425244,-0.06195722083932559,-0.04484327033818305
