time_ms,head_deg,seg2_deg,seg3_deg,seg4_deg,seg5_deg,seg6_deg,seg7_deg,tail_deg

0,-1.84532550956688,-2.01521060502261,-2.28386335437102,-1.32274416524559,-0.848548476273638,-3.20749839014587,-3.67031994968527,-1.25020329371521
0.166666666666667,-1.84378010186033,-2.01381202651332,-2.28225273939367,-1.31975246146063,-0.845972251151706,-3.20348131520114,-3.66614798175683,-1.24693493264967
0.333333333333333,-1.84226666137387,-2.01243753019482,-2.28065126141835,-1.31681507430427,-0.843391386050661,-3.19947657346212,-3.66202846959593,-1.24366310185857
0.5,-1.84293845131492,-2.01322541845656,-2.27939721444045,-1.31256159449518,-0.839893966935766,-3.19544893823393,-3.65931277513018,-1.24261234051884
0.666666666666667,-1.84339319162254,-2.0138578824426,-2.27822556661411,-1.30845715349469,-0.836356236958082,-3.19125418364649,-3.65641206651764,-1.24129920843313
0.833333333333333,-1.84365319654394,-2.01435209850903,-2.27714430998704,-1.30451350115667,-0.832795138699428,-3.18691438049838,-3.65334507266111,-1.23973786691312
1,-1.84373938834254,-2.01472425119626,-2.27615981952571,-1.30074003444839,-0.829225894743848,-3.1824496117733,-3.6501290778257,-1.23794222115316
1.16666666666667,-1.84367130224334,-2.01498954050566,-2.27527685882844,-1.29714380115286,-0.82566201141315,-3.177877976412,-3.64677992512618,-1.23592592436586
1.33333333333333,-1.84346709089483,-2.01516218841339,-2.27449858525453,-1.29372950322138,-0.822115282125809,-3.17321559270664,-3.64331201967784,-1.23370238157689
1.5,-1.84314352839009,-2.01525544468655,-2.27382655450957,-1.29049949980548,-0.818595790431653,-3.1684766013683,-3.63973833144746,-1.23128475309721
1.66666666666667,-1.84271601388975,-2.01528159206669,-2.27326072472721,-1.28745380999699,-0.81511191277501,-3.16367316831852,-3.63607039784123,-1.22868595769092
1.83333333333333,-1.84219857488886,-2.01525195088553,-2.27279946008749,-1.2845901153054,-0.811670321038717,-3.15881548725543,-3.6323183260657,-1.22591867545692
2,-1.84160387016975,-2.01517688317793,-2.27243953401192,-1.2819037619008,-0.808275984920992,-3.15391178204472,-3.6284907952983,-1.22299535044202
2.16666666666667,-1.84094319248272,-2.01506579635662,-2.27217613197564,-1.27938776265138,-0.804932174197334,-3.1489683089858,-3.62459505870345,-1.21992819300348
2.33333333333333,-1.84022647099635,-2.01492714651403,-2.27200285397704,-1.2770327989838,-0.801640460919578,-3.14398935900347,-3.62063694533063,-1.21672918193896
2.5,-1.83946227355867,-2.01476844141518,-2.27191171670486,-1.27482722259476,-0.798400721603422,-3.13897725981471,-3.61662086192994,-1.21341006640097
2.66666666666667,-1.83865780881105,-2.01459624324732,-2.2718931554435,-1.27275705704227,-0.795211139456698,-3.13393237812092,-3.61254979472157,-1.20998236761412
2.83333333333333,-1.83781892819575,-2.0144161711902,-2.27193602575663,-1.27080599924473,-0.792068206699401,-3.12885312187493,-3.60842531115474,-1.2064573804122
3,-1.83695012789881,-2.01423290387247,-2.27202760498966,-1.26895542091613,-0.788966727027483,-3.12373594267299,-3.60424756169208,-1.20284617461309
3.16666666666667,-1.83606868546543,-2.01406904142221,-2.2721687000527,-1.26719902593584,-0.785913986226871,-3.1185881533776,-3.60002986367471,-1.19917302194325
3.33333333333333,-1.83520335675137,-2.013963398021,-2.27237315334373,-1.26554256505805,-0.782929382133891,-3.11342811561355,-3.59579825745896,-1.19547416138849
3.5,-1.83437958698596,-2.01395128425462,-2.27265248432048,-1.2639890324442,-0.780030066831383,-3.10827251430276,-3.59157669876434,-1.19178375181388
3.66666666666667,-1.83361950873553,-2.01406450367575,-2.2730158848817,-1.26253866130684,-0.777230942686711,-3.10313635420075,-3.58738705561523,-1.1881338679141
3.83333333333333,-1.83294194092514,-2.01433135101224,-2.27347021648662,-1.26118892137419,-0.774544660115481,-3.0980329577496,-3.58324910665041,-1.18455449767474
4,-1.83235028663553,-2.01475275769454,-2.27399945313936,-1.25991234431167,-0.771969112205747,-3.0929711101695,-3.57916268988569,-1.18105191306918
4.16666666666667,-1.83183391394201,-2.01530400369921,-2.27456667914181,-1.25865992589777,-0.769488132532468,-3.0879542335103,-3.57510881564217,-1.17760942934045
4.33333333333333,-1.83138095093541,-2.01595943262256,-2.27513564946173,-1.25738500780751,-0.767084357055997,-3.08298283382306,-3.57106807825331,-1.17420941752697
