time_ms,head_deg,seg2_deg,seg3_deg,seg4_deg,seg5_deg,seg6_deg,seg7_deg,tail_deg

0,-1.65304840905267,-3.73407671271304,-1.91637808615128,-2.10802325824555,-2.27218101211606,-0.031880087241587,-0.973341430041328,-0.550478489057351
0.166666666666667,-1.6420228475272,-3.72371793306735,-1.91270465001043,-2.10142319960139,-2.26995666618769,-0.0347294323575662,-0.967781255581083,-0.543069226945236
0.333333333333333,-1.63142289167119,-3.7137605857001,-1.90919556015526,-2.09519589310679,-2.26786640199655,-0.0374014404525718,-0.962485698253363,-0.536163130854832
0.5,-1.62124133721021,-3.704206831792,-1.90586808253978,-2.08934406863683,-2.26593103636303,-0.0399343379594401,-0.957452000879649,-0.529771502355204
0.666666666666667,-1.61146957754016,-3.69505543341021,-1.90273436080136,-2.08386649446843,-2.26416581932924,-0.0423601018919002,-0.952676220457033,-0.523898464710763
0.833333333333333,-1.6020977471874,-3.68630210395394,-1.89980194664404,-2.07875838672527,-2.26258101128662,-0.0447051073490985,-0.948153347747048,-0.518541710208841
1,-1.59311484948066,-3.67793981833634,-1.89707426794291,-2.07401177140017,-2.2611823920904,-0.0469906979972183,-0.943877414032125,-0.513693159726313
1.16666666666667,-1.58450887038097,-3.66995908814048,-1.89455104288233,-2.06961580518509,-2.25997171128066,-0.0492336899888479,-0.939841586613745,-0.509339546178426
1.33333333333333,-1.57626688011194,-3.66234820616706,-1.89222864713787,-2.06555706036287,-2.25894708710015,-0.0514468181404784,-0.936038254379967,-0.505462931667892
1.5,-1.56837512397656,-3.65509346410757,-1.89010044003008,-2.06181977820289,-2.25810336081268,-0.0536391318278784,-0.932459104561778,-0.502041166638406
1.66666666666667,-1.56081910354159,-3.64817934651754,-1.88815705468655,-2.05838609463658,-2.25743241184776,-0.0558163469361417,-0.929095191631732,-0.499048298087201
1.83333333333333,-1.55358364919293,-3.64158870379243,-1.88638665650235,-2.05523624142731,-2.2569234384774,-0.0579811592610313,-0.925936999155005,-0.496454932845036
2,-1.54665298492275,-3.63530290645855,-1.8847751735664,-2.05234872558501,-2.25656320804914,-0.0601335239751428,-0.922974495287199,-0.494228561060837
2.16666666666667,-1.54001078608618,-3.62930198276217,-1.88330650219983,-2.04970048938406,-2.2563362802259,-0.0622709051146915,-0.920197182514621,-0.492333844295857
2.33333333333333,-1.53364023076267,-3.62356474126291,-1.8819626903112,-2.04726705301294,-2.25622520620001,-0.064388498487951,-0.917594142149665,-0.490732872015192
2.5,-1.52752404527192,-3.61806887990507,-1.88072410090365,-2.04502264160758,-2.25621070644251,-0.0664794309401264,-0.915154074025855,-0.489385389745051
2.66666666666667,-1.52164454431844,-3.61279108283957,-1.87956955775129,-2.04294029818183,-2.25627182920069,-0.068534938510453,-0.912865331775722,-0.488249001720307
2.83333333333333,-1.51598366617803,-3.6077071061028,-1.87847647499647,-2.04099198376941,-2.25638609166439,-0.0705445256820481,-0.910715954026588,-0.487279350472875
3,-1.51052300328424,-3.6027918531119,-1.87742097218803,-2.03914866591832,-2.25652960546893,-0.0724961076354029,-0.908693691804579,-0.486430275489216
3.16666666666667,-1.50524492994002,-3.5980244977024,-1.87638585049475,-2.03738082166207,-2.25668556636559,-0.074385500322296,-0.906777844576566,-0.485669626873287
3.33333333333333,-1.50013394113573,-3.59339015671277,-1.87536224710521,-2.03566169302548,-2.25684590195275,-0.0762171655436923,-0.904941990570385,-0.484981730470156
3.5,-1.49517610965515,-3.58887551771056,-1.87434243176914,-2.03396824241011,-2.25700356346554,-0.0779951429024113,-0.903163377708618,-0.484352677421555
3.66666666666667,-1.49035896435434,-3.58446871803132,-1.87331971953579,-2.03228086553393,-2.25715244893582,-0.0797230844447689,-0.901422639698434,-0.483770186673391
3.83333333333333,-1.48567137957025,-3.58015923483036,-1.87228839143809,-2.03058313065937,-2.2572873325633,-0.0814042855311357,-0.899703538554621,-0.483223480439828
4,-1.48110347449016,-3.57593778499797,-1.8712436222935,-2.02886154133691,-2.25740379973563,-0.0830417123907141,-0.897992730712713,-0.482703171219822
4.16666666666667,-1.47664652145115,-3.57179623392475,-1.87018141489137,-2.02710532021906,-2.25749818720229,-0.0846380267633764,-0.896279554225188,-0.482201159128719
4.33333333333333,-1.47229286225778,-3.56772751222021,-1.86909853992008,-2.02530621178189,-2.25756752796293,-0.0861956079831083,-0.89455583482327,-0.481710538449956
4.5,-1.46803583171086,-3.5637255395912,-1.8679924810622,-2.02345830203929,-2.25760950048191,-0.08771657281779,-0.892815708881158,-0.481225512437927
4.66666666666667,-1.46386968763051,-3.55978515517528,-1.86686138474927,-2.02155785355015,-2.25762238188371,-0.0892027933437358,-0.891055461539809,-0.480741315511497
4.83333333333333,-1.45978954673728,-3.55590205370335,-1.86570401412537,-2.01960315420849,-2.25760500482311,-0.0906559131031059,-0.8892733784418,-0.480254142074202
5,-1.45579132582375,-3.55207272693356,-1.86451970681712,-2.01759437847101,-2.25755671775691,-0.0920773617642263,-0.88746960969729,-0.479761081279729
5.16666666666667,-1.45187168771134,-3.54829440985964,-1.86330833615189,-2.01553345982315,-2.25747734837444,-0.0934683684817834,-0.885646044851001,-0.479260057135925
5.33333333333333,-1.44802799154044,-3.54456503124908,-1.86207027550402,-2.01342397341182,-2.25736716996989,-0.0948299741326384,-0.883806197750613,-0.478749773404615
5.5,-1.44425824698939,-3.54088316811386,-1.86080636548207,-2.01127102788614,-2.25722687056225,-0.0961630425841813,-0.881955100332467,-0.478229662811537
5.66666666666667,-1.4405610720605,-3.53724800375751,-1.85951788370102,-2.0090811655875,-2.25705752458976,-0.0974682711365977,-0.880099204443204,-0.477699840131656
5.83333333333333,-1.43693565410788,-3.53365928907898,-1.85820651690846,-2.00686227031807,-2.25686056702313,-0.0987462002657136,-0.878246290905787,-0.477161058759163
6,-1.433381713815,-3.53011730684599,-1.8568743352581,-2.00462348199511,-2.25663776975799,-0.0999972227803365,-0.876405385118893,-0.476614670411303
6.16666666666667,-1.42989947185885,-3.52662283867907,-1.85552376854366,-2.00237511756754,-2.25639122016064,-0.101221592496714,-0.874586678549524,-0.476062587649852
6.33333333333333,-1.42648961802412,-3.52317713451353,-1.85415758422561,-2.00012859763325,-2.25612330165386,-0.102419432522999,-0.872801455542733,-0.4755072489359
6.5,-1.42315009366926,-3.51977993065486,-1.85277647648038,-1.99788865944723,-2.25583491058803,-0.103591928806168,-0.871058925189891,-0.474953481759991
6.66666666666667,-1.4198760641868,-3.51642922968645,-1.85137914547395,-1.9956530200268,-2.25552547107014,-0.104741241824269,-0.86936472338148,-0.474407565658229
6.83333333333333,-1.41666310181081,-3.51312315679329,-1.84996472698865,-1.99341996391426,-2.25519470900322,-0.105869279262257,-0.867723349807729,-0.473874903458543
7,-1.4135071617092,-3.50985995241474,-1.84853276675443,-1.99118830988379,-2.25484263431706,-0.106977711050622,-0.866138234626724,-0.47336007290425
7.16666666666667,-1.40667678637169,-3.50231604127736,-1.84547340820445,-1.9878780998994,-2.25453437969746,-0.109501846563974,-0.862857422299522,-0.470268478036086
7.33333333333333,-1.399623251167,-3.49465682239096,-1.84237905459184,-1.98430649874435,-2.25408791512826,-0.112027839499087,-0.859495255195858,-0.467087326483299
7.5,-1.39236282791262,-3.48689028604681,-1.83924863968935,-1.98048939983319,-2.25351339983736,-0.114559984218589,-0.856064732560297,-0.463837596996074
7.66666666666667,-1.38491112169119,-3.47902415861608,-1.83608152175727,-1.97644226134196,-2.25282075390017,-0.117102217872685,-0.852577434067161,-0.460538863169225
7.83333333333333,-1.37728306880688,-3.4710658963381,-1.83287747877357,-1.97218010689487,-2.25201965925984,-0.119658120521266,-0.849043519702723,-0.457209293776775
8,-1.36949293482775,-3.4630226796708,-1.82963670416231,-1.96771752611991,-2.2511195605232,-0.122230915174411,-0.845471729750331,-0.453865653010192
8.16666666666667,-1.36155431270799,-3.45490140815942,-1.8263598029619,-1.96306867505747,-2.25012966554007,-0.124823467743396,-0.841869384838401,-0.45052330060334
8.33333333333333,-1.35348012098397,-3.44670869578011,-1.82304778837528,-1.95824727640576,-2.24905894577337,-0.12743828689413,-0.838242386011135,-0.447196191826907
8.5,-1.34528260203756,-3.43845086671503,-1.81970207864414,-1.95326661958618,-2.24791613646683,-0.130077523794538,-0.834595214781429,-0.443896877334685
