0.00000,1.16439,1.76213,1.43320,1.46963,0.98606,-0.40725,-1.26778,-2.46370,-3.35047,-3.85903,-3.60233,-2.55072,-2.05856,-2.20370,-1.70889,-2.17685,-3.98505,-4.26201,-3.11167,-1.02706,0.45879,1.81273,3.55609,6.22624,7.56377,6.92628,6.40600,7.37236,11.62603,12.48639,7.81947,4.20413,2.37755,1.12420,-3.52213,-4.44867,1.50959,5.29284,0.98473
0.00100,1.16771,1.82084,1.46634,1.49569,1.03380,-0.33539,-1.19083,-2.40668,-3.30618,-3.85316,-3.66061,-2.59041,-2.08692,-2.22792,-1.72234,-2.23466,-4.14536,-4.46910,-3.28213,-1.13552,0.37598,1.72146,3.44417,6.07759,7.41275,6.82791,6.36949,7.41980,11.85451,12.85831,8.10764,4.36806,2.46761,1.16646,-3.42988,-4.50815,1.38429,5.29383,1.11202
0.00200,1.17011,1.87822,1.49841,1.52071,1.08100,-0.26310,-1.11276,-2.34771,-3.25940,-3.84456,-3.71627,-2.62829,-2.11382,-2.25058,-1.73459,-2.29100,-4.30304,-4.67337,-3.45047,-1.24333,0.29273,1.62870,3.32939,5.92403,7.25584,6.72421,6.32804,7.46166,12.07472,13.22177,8.39065,4.52916,2.55603,1.20793,-3.33521,-4.56440,1.25805,5.29105,1.23850
0.00300,1.17161,1.93422,1.52939,1.54466,1.12761,-0.19041,-1.03363,-2.28683,-3.21019,-3.83326,-3.76926,-2.66433,-2.13923,-2.27166,-1.74563,-2.34584,-4.45797,-4.87465,-3.61657,-1.35040,0.20910,1.53452,3.21186,5.76567,7.09317,6.61526,6.28169,7.49790,12.28651,13.57649,8.66832,4.68732,2.64273,1.24858,-3.23820,-4.61740,1.13094,5.28451,1.36405
0.00400,1.17219,1.98880,1.55925,1.56752,1.17361,-0.11739,-0.95351,-2.22408,-3.15856,-3.81926,-3.81954,-2.69849,-2.16316,-2.29115,-1.75546,-2.39913,-4.61005,-5.07280,-3.78031,-1.45666,0.12515,1.43899,3.09165,5.60263,6.92485,6.50114,6.23047,7.52850,12.48971,13.92221,8.94041,4.84240,2.72767,1.28838,-3.13892,-4.66709,1.00308,5.27421,1.48858
0.00500,1.17186,2.04191,1.58798,1.58928,1.21895,-0.04408,-0.87244,-2.15951,-3.10456,-3.80257,-3.86707,-2.73077,-2.18556,-2.30903,-1.76406,-2.45083,-4.75914,-5.26767,-3.94155,-1.56202,0.04094,1.34218,2.96886,5.43503,6.75102,6.38193,6.17443,7.55344,12.68418,14.25867,9.20674,4.99430,2.81076,1.32731,-3.03745,-4.71343,0.87455,5.26016,1.61201
0.00600,1.17061,2.09352,1.61554,1.60993,1.26361,0.02946,-0.79050,-2.09318,-3.04823,-3.78320,-3.91182,-2.76112,-2.20643,-2.32530,-1.77144,-2.50091,-4.90515,-5.45912,-4.10019,-1.66640,-0.04347,1.24417,2.84359,5.26301,6.57181,6.25773,6.11359,7.57269,12.86976,14.58561,9.46710,5.14291,2.89196,1.36533,-2.93386,-4.75641,0.74545,5.24237,1.73424
0.00700,1.16845,2.14358,1.64192,1.62944,1.30755,0.10316,-0.70774,-2.02512,-2.98962,-3.76117,-3.95376,-2.78954,-2.22575,-2.33993,-1.77759,-2.54932,-5.04796,-5.64699,-4.25610,-1.76974,-0.12801,1.14502,2.71591,5.08668,6.38734,6.12863,6.04802,7.58625,13.04632,14.90279,9.72130,5.28810,2.97119,1.40241,-2.82822,-4.79597,0.61588,5.22084,1.85518
0.00800,1.16538,2.19207,1.66709,1.64780,1.35075,0.17699,-0.62422,-1.95540,-2.92876,-3.73649,-3.99285,-2.81599,-2.24351,-2.35292,-1.78249,-2.59604,-5.18747,-5.83116,-4.40917,-1.87194,-0.21261,1.04482,2.58594,4.90618,6.19776,5.99472,5.97776,7.59410,13.21373,15.20998,9.96915,5.42978,3.04840,1.43852,-2.72063,-4.83210,0.48594,5.19561,1.97474
0.00900,1.16141,2.23894,1.69105,1.66500,1.39315,0.25087,-0.54001,-1.88406,-2.86570,-3.70918,-4.02906,-2.84046,-2.25969,-2.36425,-1.78616,-2.64102,-5.32358,-6.01147,-4.55927,-1.97294,-0.29722,0.94363,2.45376,4.72164,6.00320,5.85611,5.90286,7.59623,13.37186,15.50694,10.21046,5.56784,3.12354,1.47365,-2.61115,-4.86476,0.35572,5.16668,2.09282
0.01000,1.15652,2.28416,1.71377,1.68103,1.43475,0.32477,-0.45517,-1.81115,-2.80049,-3.67926,-4.06238,-2.86294,-2.27429,-2.37393,-1.78858,-2.68424,-5.45617,-6.18781,-4.70631,-2.07266,-0.38177,0.84153,2.31947,4.53321,5.80382,5.71290,5.82337,7.59265,13.52060,15.79345,10.44505,5.70216,3.19654,1.50776,-2.49986,-4.89393,0.22531,5.13409,2.20935
0.01100,1.15074,2.32770,1.73524,1.69587,1.47549,0.39861,-0.36976,-1.73674,-2.73317,-3.64675,-4.09276,-2.88339,-2.28728,-2.38193,-1.78975,-2.72565,-5.58515,-6.36003,-4.85017,-2.17102,-0.46620,0.73860,2.18319,4.34103,5.59976,5.56519,5.73937,7.58335,13.65982,16.06931,10.67275,5.83267,3.26735,1.54083,-2.38687,-4.91960,0.09483,5.09784,2.32423
0.01200,1.14406,2.36952,1.75543,1.70951,1.51536,0.47235,-0.28386,-1.66087,-2.66380,-3.61169,-4.12020,-2.90181,-2.29867,-2.38826,-1.78968,-2.76524,-5.71043,-6.52800,-4.99074,-2.26795,-0.55044,0.63491,2.04499,4.14523,5.39117,5.41309,5.65090,7.56835,13.78944,16.33429,10.89339,5.95924,3.33592,1.57283,-2.27224,-4.94173,-0.03565,5.05798,2.43737
