iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.998742114752531052e-02,5.612963676452636719e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.798936868086457253e-02,6.097889512777328491e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999518333621218e+00,9.999974968889442650e-02,-1.150505490758029631e-02,9.274873376947587178e-05,-1.067834560974922908e-05,4.999947768015075567e-02,-6.651007570326328278e-02,6.702973812818527222e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749998336818596734e+00,1.000031263284410776e-01,-1.151472615874391155e-02,2.755475187619441102e-04,-3.286536083724200807e-05,4.994616056591593550e-02,-7.126848492771387100e-02,6.917980790138244629e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749996415283097129e+00,1.000118976125649872e-01,-1.152790846469674280e-02,4.896421023529787253e-04,-6.576975495886649981e-05,4.984205550299374010e-02,-6.171157490462064743e-02,6.934453159570693970e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.749993775393807738e+00,1.000261967327291113e-01,-1.154411825626251026e-02,7.120894414565370756e-04,-1.088003663733960735e-04,4.969504205904459043e-02,-5.340740550309419632e-02,6.940374553203582764e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.749990509860614551e+00,1.000445082000475938e-01,-1.156321830288774104e-02,9.709414596559239052e-04,-1.615409316890747959e-04,4.950835531558472891e-02,-5.708624422550201416e-02,6.991994470357894897e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.749986697437338812e+00,1.000654200232071328e-01,-1.158515315574887815e-02,1.293890183031901064e-03,-2.237807558091997606e-04,4.928413351419342475e-02,-6.694844458252191544e-02,7.042613714933395386e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.749982344256284961e+00,1.000888594378617075e-01,-1.160985829866129776e-02,1.672846926251681660e-03,-2.955147828704873803e-04,4.902593755088133221e-02,-7.503219693899154663e-02,7.065591096878051758e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.749977427566570931e+00,1.001152502392717164e-01,-1.163727929557409856e-02,2.087341572665355610e-03,-3.767840504957931103e-04,4.873760182820843778e-02,-8.158231433480978012e-02,7.065761238336563110e+00
