iter,time,x,y,z,roll,pitch,yaw,fx,fz
0.000000000000000000e+00,0.000000000000000000e+00,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.998742114752531052e-02,5.612963676452636719e+00
1.000000000000000000e+00,1.000000000000000021e-03,4.750000000000000000e+00,1.000000000000000056e-01,-1.149999999999999981e-02,0.000000000000000000e+00,0.000000000000000000e+00,5.000000000000000278e-02,-5.798936868086457253e-02,6.097889512777328491e+00
2.000000000000000000e+00,2.000000000000000042e-03,4.749999577533291273e+00,1.000017888301279745e-01,-1.150503643635242441e-02,6.062578641018168124e-05,-1.063466280859515223e-05,4.999956277213014888e-02,-5.763300415128469467e-02,6.705228000879287720e+00
3.000000000000000000e+00,3.000000000000000062e-03,4.749998529405360159e+00,1.000091957664677733e-01,-1.151467133477314386e-02,1.797152735766027742e-04,-3.273896741484705331e-05,4.994639798711101447e-02,-5.781911779195070267e-02,6.928963750600814819e+00
4.000000000000000000e+00,4.000000000000000083e-03,4.749996895366678018e+00,1.000221367583065540e-01,-1.152781012004741243e-02,3.406931258180291577e-04,-6.555113527317857347e-05,4.984163384977841060e-02,-5.566324945539236069e-02,6.936613291501998901e+00
5.000000000000000000e+00,5.000000000000000104e-03,4.749994725428947184e+00,1.000399929921182984e-01,-1.154396092785133117e-02,5.379303167297594390e-04,-1.084841797314162193e-04,4.969285355153801181e-02,-5.622951686382293701e-02,6.949490219354629517e+00
6.000000000000000000e+00,6.000000000000000125e-03,4.749992057946609059e+00,1.000622097366150876e-01,-1.156299821399298100e-02,7.755390416035699841e-04,-1.611343075418325554e-04,4.950420886457934655e-02,-5.770107265561819077e-02,6.992462784051895142e+00
7.000000000000000000e+00,7.000000000000000146e-03,4.749988918898681689e+00,1.000883241887419728e-01,-1.158485591572063107e-02,1.058927380346852409e-03,-2.233121217845024375e-04,4.927826014693063861e-02,-6.073531322181224823e-02,7.033576548099517822e+00
8.000000000000000000e+00,8.000000000000000167e-03,4.749985329176941384e+00,1.001180004031428372e-01,-1.160947464652037527e-02,1.385588875724996089e-03,-2.949945559644895354e-04,4.901849626822343819e-02,-6.082053668797016144e-02,7.049629271030426025e+00
9.000000000000000000e+00,9.000000000000001055e-03,4.749981305060883230e+00,1.001509793380285229e-01,-1.163680035012014564e-02,1.752149665327919215e-03,-3.761666698005594611e-04,4.872784238292619807e-02,-7.157708890736103058e-02,7.073608636856079102e+00
