iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
65,8.843721e-02,6.036639e-02,1.992940e+02,414,87,14,8.415996e-01,3.585109e-01
66,9.123368e-02,2.417893e-01,0.000000e+00,0,0,0,3.226074e-05,8.699642e-06
67,9.178904e-02,3.594052e-01,0.000000e+00,0,0,0,2.909407e-05,6.992764e-06
68,9.198344e-02,4.315287e-01,0.000000e+00,0,0,0,2.898664e-05,6.874368e-06
69,9.210759e-02,4.854292e-01,0.000000e+00,0,0,0,2.894410e-05,6.802725e-06
70,9.221801e-02,5.289740e-01,0.000000e+00,0,0,0,2.878465e-05,6.698527e-06
71,8.927163e-02,5.719274e-02,1.779757e+02,415,87,14,6.361811e-01,4.182872e-01
72,9.169249e-02,2.207624e-01,0.000000e+00,0,0,0,2.839050e-05,6.991267e-06
73,9.218836e-02,3.334837e-01,0.000000e+00,0,0,0,3.059092e-05,8.709821e-06
74,9.235528e-02,4.022057e-01,0.000000e+00,0,0,0,3.014798e-05,8.411640e-06
75,9.240834e-02,4.501779e-01,0.000000e+00,0,0,0,2.935143e-05,7.990970e-06
76,9.238920e-02,4.847995e-01,0.000000e+00,0,0,0,2.845048e-05,7.554213e-06
77,9.230219e-02,5.091330e-01,0.000000e+00,0,0,0,2.751034e-05,7.117292e-06
78,9.214858e-02,5.251160e-01,0.000000e+00,0,0,0,2.655273e-05,6.681799e-06
79,9.193171e-02,5.342916e-01,0.000000e+00,0,0,0,2.558569e-05,6.246905e-06
80,9.165676e-02,5.379523e-01,0.000000e+00,0,0,0,2.461333e-05,5.812060e-06
81,9.132954e-02,5.371628e-01,0.000000e+00,0,0,0,2.363813e-05,5.376999e-06
82,9.095591e-02,5.328066e-01,0.000000e+00,0,0,0,2.266221e-05,4.941764e-06
83,9.054171e-02,5.256390e-01,0.000000e+00,0,0,0,2.168825e-05,4.506751e-06
84,9.009213e-02,5.162346e-01,0.000000e+00,0,0,0,2.071878e-05,4.072443e-06
85,8.961195e-02,5.050644e-01,0.000000e+00,0,0,0,1.975940e-05,3.763425e-06
86,8.910546e-02,5.066971e-01,0.000000e+00,0,0,0,1.882681e-05,3.693452e-06
87,8.857685e-02,5.356582e-01,0.000000e+00,0,0,0,1.794771e-05,3.627977e-06
88,8.626564e-02,7.189289e-02,2.314759e+02,360,81,14,3.065902e+00,1.325150e+00
89,8.704928e-02,1.222525e-01,0.000000e+00,0,0,0,1.887053e-05,3.903083e-06
90,8.702637e-02,2.972447e-01,0.000000e+00,0,0,0,3.015179e-05,9.840835e-06
91,8.723397e-02,2.694389e-01,0.000000e+00,0,0,0,2.896247e-05,9.268867e-06
92,8.726337e-02,3.108523e-01,0.000000e+00,0,0,0,2.685562e-05,8.340574e-06
93,8.707653e-02,3.307953e-01,0.000000e+00,0,0,0,2.475851e-05,7.414799e-06
94,8.670205e-02,3.346857e-01,0.000000e+00,0,0,0,2.305468e-05,6.549175e-06
95,8.617813e-02,3.399147e-01,0.000000e+00,0,0,0,2.154867e-05,5.747768e-06
96,8.554060e-02,3.760024e-01,0.000000e+00,0,0,0,2.011791e-05,5.003993e-06
97,8.482028e-02,4.103045e-01,0.000000e+00,0,0,0,1.876167e-05,4.310058e-06
98,8.404651e-02,4.429631e-01,0.000000e+00,0,0,0,1.747315e-05,3.656709e-06
99,8.328748e-02,4.738803e-01,0.000000e+00,0,0,0,1.621160e-05,3.013132e-06
100,8.255083e-02,5.032941e-01,0.000000e+00,0,0,0,1.498014e-05,2.753077e-06
101,8.183232e-02,5.312769e-01,0.000000e+00,0,0,0,1.378155e-05,2.608072e-06
102,8.112774e-02,5.579345e-01,0.000000e+00,0,0,0,1.261851e-05,2.468865e-06
103,8.180001e-02,6.925686e-02,2.284478e+02,359,85,14,3.883212e+00,1.311769e+00
104,8.031888e-02,9.896012e-02,0.000000e+00,0,0,0,1.345202e-05,2.443540e-06
105,7.976008e-02,2.702113e-01,0.000000e+00,0,0,0,2.439102e-05,7.830468e-06
106,8.006847e-02,2.000871e-01,0.000000e+00,0,0,0,2.266552e-05,7.060823e-06
107,8.022198e-02,1.934132e-01,0.000000e+00,0,0,0,2.064911e-05,5.934602e-06
108,8.010241e-02,2.322066e-01,0.000000e+00,0,0,0,1.876368e-05,4.821768e-06
109,7.974973e-02,2.672798e-01,0.000000e+00,0,0,0,1.693751e-05,3.785068e-06
110,7.922150e-02,2.995698e-01,0.000000e+00,0,0,0,1.520873e-05,2.829847e-06
111,7.856712e-02,3.295341e-01,0.000000e+00,0,0,0,1.359094e-05,2.603646e-06
112,7.782572e-02,3.576282e-01,0.000000e+00,0,0,0,1.229593e-05,2.506069e-06
113,7.702743e-02,3.841666e-01,0.000000e+00,0,0,0,1.121507e-05,2.403083e-06
114,7.619512e-02,4.092776e-01,0.000000e+00,0,0,0,1.085165e-05,2.298573e-06
115,7.534641e-02,4.330559e-01,0.000000e+00,0,0,0,1.119416e-05,2.195152e-06
116,7.449502e-02,4.555580e-01,0.000000e+00,0,0,0,1.151247e-05,2.094568e-06
117,7.365114e-02,4.768247e-01,0.000000e+00,0,0,0,1.180870e-05,2.194299e-06
118,7.282272e-02,4.968839e-01,0.000000e+00,0,0,0,1.208661e-05,2.739418e-06
119,7.201586e-02,5.157602e-01,0.000000e+00,0,0,0,1.234947e-05,3.251387e-06
120,7.123535e-02,5.465931e-01,0.000000e+00,0,0,0,1.260166e-05,3.732016e-06
121,7.457151e-02,7.206500e-02,3.839055e+02,360,81,14,5.697924e+00,2.215687e+00
122,7.107329e-02,1.573383e-01,0.000000e+00,0,0,0,9.677271e-06,1.745557e-06
123,7.039790e-02,4.911130e-01,0.000000e+00,0,0,0,2.378754e-05,9.227329e-06
124,7.107224e-02,4.209478e-01,0.000000e+00,0,0,0,2.297228e-05,8.577219e-06
125,7.156060e-02,3.710504e-01,0.000000e+00,0,0,0,2.121032e-05,7.341061e-06
126,7.167968e-02,3.040673e-01,0.000000e+00,0,0,0,1.956722e-05,6.116144e-06
127,7.148061e-02,2.483711e-01,0.000000e+00,0,0,0,1.828402e-05,4.999662e-06
128,7.104178e-02,2.758282e-01,0.000000e+00,0,0,0,1.746693e-05,3.998533e-06
129,7.043240e-02,3.039443e-01,0.000000e+00,0,0,0,1.662674e-05,3.101061e-06
130,6.970732e-02,3.326283e-01,0.000000e+00,0,0,0,1.572775e-05,2.622399e-06
131,6.881870e-02,3.631111e-01,0.000000e+00,0,0,0,1.466860e-05,2.478339e-06
132,6.777401e-02,3.956720e-01,0.000000e+00,0,0,0,1.350818e-05,2.307370e-06
133,6.660244e-02,4.302098e-01,0.000000e+00,0,0,0,1.230010e-05,2.121068e-06
134,6.533715e-02,4.664615e-01,0.000000e+00,0,0,0,1.119343e-05,2.071085e-06
135,6.400811e-02,5.040583e-01,0.000000e+00,0,0,0,1.088791e-05,2.045206e-06
136,6.263965e-02,5.426145e-01,0.000000e+00,0,0,0,1.081947e-05,2.016441e-06
137,6.669860e-02,5.674155e-02,3.963591e+02,412,84,14,3.745806e+00,7.551051e-01
138,6.167786e-02,2.327698e-01,0.000000e+00,0,0,0,8.579638e-06,1.720988e-06
