iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,8.095360e-04,7.921821e-01,1.112408e+00,22,66,34,1.675362e-05,2.836991e-06,1.793586e-08,2.822512e-06
4,2.816088e-03,2.456039e+00,3.209893e+00,21,66,34,4.845462e-05,8.177095e-06,6.462897e-08,8.130872e-06
5,5.390633e-03,7.076859e-01,5.726265e+00,20,66,34,9.360326e-05,1.402816e-05,7.743867e-08,1.397674e-05
6,8.442053e-03,8.222245e-01,5.969924e+00,18,66,34,1.174398e-04,1.393213e-05,1.206122e-07,1.386124e-05
7,1.196255e-02,1.095538e+00,6.487194e+00,18,66,34,1.377110e-04,1.640217e-05,1.629502e-07,1.633298e-05
8,1.634288e-02,1.378770e+00,8.216439e+00,16,64,33,1.520986e-04,2.816264e-05,2.079049e-07,2.795485e-05
9,2.076091e-02,1.668651e+00,8.782514e+00,21,66,34,1.547355e-04,2.923344e-05,2.404310e-07,2.899330e-05
10,2.380580e-02,1.963773e+00,6.949963e+00,49,61,34,2.047024e-04,3.510173e-05,2.547436e-07,3.484773e-05
11,2.611517e-02,2.263566e+00,8.260206e+00,49,61,34,2.144478e-04,2.998121e-05,2.596063e-07,2.979178e-05
12,2.913896e-02,2.564864e+00,6.234621e+00,22,66,34,1.763350e-04,3.499332e-05,2.688878e-07,3.472814e-05
13,3.376094e-02,2.864219e+00,9.630558e+00,23,66,34,1.612690e-04,4.838754e-05,3.038069e-07,4.808457e-05
14,3.912287e-02,3.162580e+00,8.941775e+00,16,66,36,2.183668e-04,4.947193e-05,3.516026e-07,4.912092e-05
15,4.254662e-02,3.462461e+00,1.390605e+01,47,61,33,3.267460e-04,4.711889e-05,3.962227e-07,4.681484e-05
16,4.708322e-02,3.267814e+00,8.729042e+00,15,66,33,1.947204e-04,3.072567e-05,4.428704e-07,3.028620e-05
17,5.541912e-02,3.484101e+00,1.846063e+01,18,67,34,2.828413e-04,4.131435e-05,5.530266e-07,4.098019e-05
18,5.817325e-02,3.774555e+00,1.419181e+01,19,67,33,1.406148e-04,4.354557e-05,5.557768e-07,4.300039e-05
19,5.679564e-02,4.179618e+00,2.093294e+01,46,67,34,4.632414e-04,6.985798e-05,4.493328e-07,6.948764e-05
20,5.549493e-02,4.397946e+00,1.444862e+01,45,61,34,3.359582e-04,4.836089e-05,4.382779e-07,4.792564e-05
21,6.470004e-02,4.692807e+00,2.784159e+01,25,64,34,6.767544e-04,8.163413e-05,4.609951e-07,8.136452e-05
22,8.572739e-02,4.593405e+00,3.038654e+01,15,67,36,7.211685e-04,1.392562e-04,6.761207e-07,1.386007e-04
23,7.360156e-02,4.614190e+00,4.353055e+01,47,67,33,1.024256e-03,1.459675e-04,5.554713e-07,1.455236e-04
24,7.169001e-02,4.981723e+00,6.033671e+01,24,67,34,1.641265e-03,2.123387e-04,7.868916e-07,2.115535e-04
25,6.318931e-02,6.335746e+01,5.284278e+01,49,67,33,1.341246e-03,1.786586e-04,4.692770e-07,1.790495e-04
26,1.189408e-01,5.508327e+00,1.278725e+02,23,65,34,3.131679e-03,3.818569e-04,8.454365e-07,3.810270e-04
27,1.033353e-01,5.634146e+00,7.117319e+01,49,67,33,1.556173e-03,2.490012e-04,8.407695e-07,2.487716e-04
28,1.291603e-01,5.984726e+00,2.226391e+02,25,67,33,5.572270e-03,6.849436e-04,1.488760e-06,6.834604e-04
29,9.255812e-02,7.418922e+00,6.425479e+01,51,67,34,1.377411e-03,1.783987e-04,9.464378e-07,1.793429e-04
30,1.994456e-01,7.491300e+00,3.712781e+02,24,65,34,9.646490e-03,1.147392e-03,1.305722e-06,1.146126e-03
31,2.015771e-01,6.308413e+00,1.057892e+02,16,67,34,1.414754e-03,3.980334e-04,1.680505e-06,3.963585e-04
32,2.641477e-01,8.079969e+00,6.233304e+02,29,66,34,1.581696e-02,1.845118e-03,2.808160e-06,1.842314e-03
33,3.053762e-01,1.860886e+01,2.656257e+02,19,66,34,5.148394e-03,9.965870e-04,3.287608e-06,9.939384e-04
34,4.070354e-01,8.397951e+00,9.827918e+02,25,65,34,2.496801e-02,3.212297e-03,3.674231e-06,3.208866e-03
35,6.084769e-01,8.865900e+00,6.907541e+02,25,69,34,1.554613e-02,2.383156e-03,5.469818e-06,2.379094e-03
36,6.923767e-01,1.019857e+01,1.498706e+03,27,67,34,3.709625e-02,4.636761e-03,5.076747e-06,4.631742e-03
37,1.150855e+00,1.017723e+01,1.430344e+03,24,63,34,3.448239e-02,4.282048e-03,1.066329e-05,4.272770e-03
38,2.267493e+00,1.337768e+01,2.055773e+03,47,65,33,5.204311e-02,6.525164e-03,8.040388e-06,6.519969e-03
39,3.906390e+00,2.230076e+01,2.798211e+03,25,68,34,7.067995e-02,8.870987e-03,1.837746e-05,8.856185e-03
40,1.199212e+01,2.046471e+01,3.837420e+03,29,68,30,6.543534e-02,8.697575e-03,1.542288e-05,8.689034e-03
41,2.092411e+02,1.683380e+01,2.811308e+04,23,64,38,1.269740e-01,1.689713e-02,4.151876e-05,1.686932e-02
