iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
48,8.218669e-02,7.593390e-02,1.271849e+02,360,81,14,1.959311e+00,7.228314e-01,4.418320e-06,7.228358e-01
49,8.176008e-02,1.049492e-01,0.000000e+00,0,0,0,1.620629e-05,3.336906e-06,3.336906e-06,0.000000e+00
50,8.172342e-02,2.407310e-01,0.000000e+00,0,0,0,2.695906e-05,8.404839e-06,8.404839e-06,0.000000e+00
51,8.181155e-02,2.375060e-01,0.000000e+00,0,0,0,2.371070e-05,7.011149e-06,7.011149e-06,0.000000e+00
52,8.143535e-02,2.722012e-01,0.000000e+00,0,0,0,2.061120e-05,5.327880e-06,5.327880e-06,0.000000e+00
53,8.063019e-02,3.294933e-01,0.000000e+00,0,0,0,1.752283e-05,3.722443e-06,3.722443e-06,0.000000e+00
54,7.952701e-02,3.843323e-01,0.000000e+00,0,0,0,1.461957e-05,2.782809e-06,2.782809e-06,0.000000e+00
55,7.824552e-02,4.357072e-01,0.000000e+00,0,0,0,1.250563e-05,2.534441e-06,2.534441e-06,0.000000e+00
56,7.687605e-02,4.839038e-01,0.000000e+00,0,0,0,1.139315e-05,2.346770e-06,2.346770e-06,0.000000e+00
57,7.548305e-02,5.286747e-01,0.000000e+00,0,0,0,1.195068e-05,2.165500e-06,2.165500e-06,0.000000e+00
58,7.652067e-02,7.208122e-02,1.768871e+02,359,85,14,2.686919e+00,9.946811e-01,2.495276e-06,9.946828e-01
59,7.363237e-02,1.426000e-01,0.000000e+00,0,0,0,1.011303e-05,1.973617e-06,1.973617e-06,0.000000e+00
60,7.321888e-02,3.226213e-01,0.000000e+00,0,0,0,2.178627e-05,7.446713e-06,7.446713e-06,0.000000e+00
61,7.359467e-02,2.144576e-01,0.000000e+00,0,0,0,1.949187e-05,5.844792e-06,5.844792e-06,0.000000e+00
62,7.331700e-02,2.391590e-01,0.000000e+00,0,0,0,1.664424e-05,3.984066e-06,3.984066e-06,0.000000e+00
63,7.241895e-02,2.904326e-01,0.000000e+00,0,0,0,1.538790e-05,2.669483e-06,2.669483e-06,0.000000e+00
64,7.113338e-02,3.390262e-01,0.000000e+00,0,0,0,1.391894e-05,2.485000e-06,2.485000e-06,0.000000e+00
65,6.966146e-02,3.850107e-01,0.000000e+00,0,0,0,1.302931e-05,2.381175e-06,2.381175e-06,0.000000e+00
66,6.814324e-02,4.283716e-01,0.000000e+00,0,0,0,1.368639e-05,2.483483e-06,2.483483e-06,0.000000e+00
67,6.633186e-02,4.705694e-01,0.000000e+00,0,0,0,1.395556e-05,2.463853e-06,2.463853e-06,0.000000e+00
68,6.425119e-02,5.272065e-01,0.000000e+00,0,0,0,1.378910e-05,2.873551e-06,2.873551e-06,0.000000e+00
69,6.757712e-02,6.033114e-02,2.034812e+02,412,84,14,2.643861e+00,8.251629e-01,1.761743e-06,8.251630e-01
70,6.162890e-02,2.573829e-01,0.000000e+00,0,0,0,8.867752e-06,1.789819e-06,1.789819e-06,0.000000e+00
71,6.031101e-02,3.031726e-01,0.000000e+00,0,0,0,1.478353e-05,5.395694e-06,5.395694e-06,0.000000e+00
72,5.931823e-02,3.493584e-01,0.000000e+00,0,0,0,1.280681e-05,4.185409e-06,4.185409e-06,0.000000e+00
73,5.818484e-02,4.246748e-01,0.000000e+00,0,0,0,1.086293e-05,2.657398e-06,2.657398e-06,0.000000e+00
74,5.689056e-02,5.184416e-01,0.000000e+00,0,0,0,8.940582e-06,1.371640e-06,1.371640e-06,0.000000e+00
75,5.899718e-02,6.707125e-02,1.934813e+02,414,85,14,1.113458e+00,2.377728e-01,1.435990e-06,2.377740e-01
76,5.437057e-02,3.071613e-01,0.000000e+00,0,0,0,7.728873e-06,1.489357e-06,1.489357e-06,0.000000e+00
77,5.271016e-02,4.062304e-01,0.000000e+00,0,0,0,6.204441e-06,1.106112e-06,1.106112e-06,0.000000e+00
78,5.126139e-02,4.874026e-01,0.000000e+00,0,0,0,6.990351e-06,1.510236e-06,1.510236e-06,0.000000e+00
