iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
65,6.334592e-02,4.856359e-01,0.000000e+00,0,0,0,8.771208e-06,1.538971e-06
66,6.278190e-02,5.111043e-01,0.000000e+00,0,0,0,8.801551e-06,1.538249e-06
67,6.206436e-02,5.293808e-01,0.000000e+00,0,0,0,8.509722e-06,1.500976e-06
68,6.113430e-02,5.426738e-01,0.000000e+00,0,0,0,8.045075e-06,1.442670e-06
69,6.487388e-02,5.842887e-02,1.391830e+02,360,86,13,1.070104e+00,2.625484e-01
70,6.168098e-02,1.989570e-01,0.000000e+00,0,0,0,5.915810e-06,1.212088e-06
71,5.959311e-02,3.106536e-01,0.000000e+00,0,0,0,6.061471e-06,1.137957e-06
72,5.792506e-02,3.799529e-01,0.000000e+00,0,0,0,5.643905e-06,1.104364e-06
73,5.631047e-02,4.444034e-01,0.000000e+00,0,0,0,5.042999e-06,1.068933e-06
74,5.470645e-02,5.102276e-01,0.000000e+00,0,0,0,4.525124e-06,1.029072e-06
75,5.992820e-02,5.827938e-02,1.190875e+02,415,85,14,6.300670e-01,1.403559e-01
76,5.551231e-02,2.620073e-01,0.000000e+00,0,0,0,4.172875e-06,9.559396e-07
77,5.264115e-02,4.086992e-01,0.000000e+00,0,0,0,4.474414e-06,9.338817e-07
78,5.043970e-02,5.109339e-01,0.000000e+00,0,0,0,4.082878e-06,8.925053e-07
79,5.494989e-02,6.022485e-02,1.176885e+02,415,85,14,5.065953e-01,1.132056e-01
80,5.031323e-02,2.649924e-01,0.000000e+00,0,0,0,3.711399e-06,8.222337e-07
81,4.725228e-02,4.194206e-01,0.000000e+00,0,0,0,3.966503e-06,8.114415e-07
82,4.600958e-02,5.243286e-01,0.000000e+00,0,0,0,3.861003e-06,7.785752e-07
83,4.979482e-02,6.164820e-02,1.218749e+02,415,85,14,4.977381e-01,1.108499e-01
84,4.518956e-02,2.609323e-01,0.000000e+00,0,0,0,3.654007e-06,7.252665e-07
85,4.276802e-02,4.107067e-01,0.000000e+00,0,0,0,3.903795e-06,7.211224e-07
86,4.186721e-02,5.080316e-01,0.000000e+00,0,0,0,3.939699e-06,6.967928e-07
87,4.490510e-02,5.967178e-02,1.174665e+02,415,85,14,4.456154e-01,9.705869e-02
88,4.065447e-02,2.411459e-01,0.000000e+00,0,0,0,3.761775e-06,6.561472e-07
89,3.900709e-02,3.797421e-01,0.000000e+00,0,0,0,3.982365e-06,6.573521e-07
90,3.822961e-02,4.652107e-01,0.000000e+00,0,0,0,4.058837e-06,6.486144e-07
91,3.752216e-02,5.260901e-01,0.000000e+00,0,0,0,4.148915e-06,7.715615e-07
92,4.012038e-02,5.912201e-02,1.204643e+02,415,85,14,4.553930e-01,9.640148e-02
93,3.635269e-02,2.192474e-01,0.000000e+00,0,0,0,3.906601e-06,6.550449e-07
94,3.533622e-02,3.379866e-01,0.000000e+00,0,0,0,4.108676e-06,6.305648e-07
95,3.473561e-02,4.042586e-01,0.000000e+00,0,0,0,4.202417e-06,6.946370e-07
96,3.421025e-02,4.472421e-01,0.000000e+00,0,0,0,4.288814e-06,7.770843e-07
97,3.373091e-02,4.785430e-01,0.000000e+00,0,0,0,4.368867e-06,8.591256e-07
98,3.333570e-02,4.989625e-01,0.000000e+00,0,0,0,4.549817e-06,9.407952e-07
99,3.322413e-02,4.904504e-01,0.000000e+00,0,0,0,5.160545e-06,1.060683e-06
100,3.312423e-02,4.692625e-01,0.000000e+00,0,0,0,6.051148e-06,1.209800e-06
101,3.326057e-02,4.583103e-01,0.000000e+00,0,0,0,7.112036e-06,1.371267e-06
102,3.355135e-02,4.358853e-01,0.000000e+00,0,0,0,8.223662e-06,1.531016e-06
103,3.406599e-02,4.051889e-01,0.000000e+00,0,0,0,9.295929e-06,1.679613e-06
104,3.523726e-02,4.221354e-01,0.000000e+00,0,0,0,1.028433e-05,1.811630e-06
105,3.664454e-02,4.423608e-01,0.000000e+00,0,0,0,1.117058e-05,1.924521e-06
106,3.801714e-02,4.575895e-01,0.000000e+00,0,0,0,1.195013e-05,2.017681e-06
107,3.934285e-02,4.711385e-01,0.000000e+00,0,0,0,1.262603e-05,2.091710e-06
108,4.061583e-02,4.805192e-01,0.000000e+00,0,0,0,1.320554e-05,2.189051e-06
109,4.183755e-02,4.861975e-01,0.000000e+00,0,0,0,1.369770e-05,2.292146e-06
110,4.300853e-02,4.886584e-01,0.000000e+00,0,0,0,1.411210e-05,2.381849e-06
111,4.412917e-02,4.883777e-01,0.000000e+00,0,0,0,1.445821e-05,2.459642e-06
112,4.519982e-02,4.858034e-01,0.000000e+00,0,0,0,1.474488e-05,2.526875e-06
113,4.622100e-02,4.813527e-01,0.000000e+00,0,0,0,1.498014e-05,2.584768e-06
114,4.719681e-02,4.755298e-01,0.000000e+00,0,0,0,1.517532e-05,2.635391e-06
115,4.820240e-02,5.066606e-01,0.000000e+00,0,0,0,1.542074e-05,2.700485e-06
116,4.919247e-02,5.534906e-01,0.000000e+00,0,0,0,1.570514e-05,2.771495e-06
117,4.577017e-02,6.508017e-02,1.307873e+02,358,81,13,1.378762e+00,2.862931e-01
118,4.906736e-02,1.551304e-01,0.000000e+00,0,0,0,1.211439e-05,2.121163e-06
119,4.994782e-02,2.211486e-01,0.000000e+00,0,0,0,1.027472e-05,1.572260e-06
120,5.181349e-02,3.213773e-01,0.000000e+00,0,0,0,1.150538e-05,1.800548e-06
121,5.346371e-02,4.016659e-01,0.000000e+00,0,0,0,1.277671e-05,2.038254e-06
122,5.464841e-02,4.602999e-01,0.000000e+00,0,0,0,1.372403e-05,2.204499e-06
123,5.539807e-02,4.988817e-01,0.000000e+00,0,0,0,1.437566e-05,2.308610e-06
124,5.581122e-02,5.179886e-01,0.000000e+00,0,0,0,1.481118e-05,2.368970e-06
125,5.598369e-02,5.237259e-01,0.000000e+00,0,0,0,1.510042e-05,2.400677e-06
126,5.598924e-02,5.206901e-01,0.000000e+00,0,0,0,1.529431e-05,2.414298e-06
127,5.587491e-02,5.288183e-01,0.000000e+00,0,0,0,1.542742e-05,2.416787e-06
128,5.567693e-02,5.361665e-01,0.000000e+00,0,0,0,1.552202e-05,2.412536e-06
129,5.542679e-02,5.386665e-01,0.000000e+00,0,0,0,1.559258e-05,2.404362e-06
130,5.514965e-02,5.374567e-01,0.000000e+00,0,0,0,1.565017e-05,2.477075e-06
131,5.490486e-02,5.347115e-01,0.000000e+00,0,0,0,1.575354e-05,2.572113e-06
132,5.465416e-02,5.298606e-01,0.000000e+00,0,0,0,1.589625e-05,2.679844e-06
133,5.436262e-02,5.514515e-01,0.000000e+00,0,0,0,1.606389e-05,2.800020e-06
134,4.956963e-02,8.729558e-02,1.347872e+02,358,81,13,1.183447e+00,2.627840e-01
135,5.170143e-02,1.983217e-01,0.000000e+00,0,0,0,1.324699e-05,2.007980e-06
136,5.208548e-02,2.425284e-01,0.000000e+00,0,0,0,1.212111e-05,1.912810e-06
137,5.273070e-02,3.064974e-01,0.000000e+00,0,0,0,1.306681e-05,2.089902e-06
138,5.301627e-02,3.866603e-01,0.000000e+00,0,0,0,1.402738e-05,2.342313e-06
139,5.289486e-02,4.625855e-01,0.000000e+00,0,0,0,1.476665e-05,2.600023e-06
140,5.245847e-02,5.276546e-01,0.000000e+00,0,0,0,1.549327e-05,2.841549e-06
141,5.022194e-02,8.043730e-02,1.065547e+02,360,81,13,8.196623e-01,2.012872e-01
142,5.032306e-02,2.100716e-01,0.000000e+00,0,0,0,1.368747e-05,2.445072e-06
143,5.003556e-02,2.809051e-01,0.000000e+00,0,0,0,1.324605e-05,2.445661e-06
144,4.985922e-02,3.537942e-01,0.000000e+00,0,0,0,1.402715e-05,2.625473e-06
