iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
65,3.737872e-01,1.306961e+00,5.902403e+01,33,54,25,1.969981e-02,1.443275e-03
66,3.725022e-01,1.317623e+00,5.975554e+01,33,54,25,1.951737e-02,1.462554e-03
67,3.709947e-01,1.326027e+00,6.026115e+01,33,54,25,1.910437e-02,1.401347e-03
68,3.692384e-01,1.335678e+00,6.074408e+01,33,54,25,1.888999e-02,1.361887e-03
69,3.671227e-01,1.353714e+00,6.155837e+01,33,54,25,1.881801e-02,1.426381e-03
70,3.646664e-01,1.372425e+00,6.235196e+01,33,54,25,1.877383e-02,1.513182e-03
71,3.618630e-01,1.384521e+00,6.286371e+01,33,54,25,1.876317e-02,1.541479e-03
72,3.588004e-01,1.386822e+00,6.310410e+01,33,54,25,1.860937e-02,1.560839e-03
73,3.555475e-01,1.384026e+00,6.303580e+01,33,54,25,1.849209e-02,1.618958e-03
74,3.523272e-01,1.383373e+00,6.318649e+01,35,52,25,1.825981e-02,1.657086e-03
75,3.507590e-01,1.383152e+00,6.331524e+01,33,54,25,1.816295e-02,1.598888e-03
76,3.490229e-01,1.385685e+00,6.362189e+01,35,52,25,1.799631e-02,1.546062e-03
77,3.471475e-01,1.389683e+00,6.400847e+01,33,54,24,1.775637e-02,1.566640e-03
78,3.450356e-01,1.391846e+00,6.468169e+01,33,54,24,1.745469e-02,1.515777e-03
79,3.427193e-01,1.397717e+00,6.542874e+01,33,54,24,1.700833e-02,1.543312e-03
80,3.402248e-01,1.410263e+00,6.621694e+01,33,54,24,1.673799e-02,1.566436e-03
81,3.375879e-01,1.440338e+00,6.656377e+01,33,54,24,1.655322e-02,1.509141e-03
82,3.348884e-01,1.479950e+00,6.390061e+01,32,54,24,1.610956e-02,1.400376e-03
83,3.352115e-01,1.541603e+00,6.600079e+01,33,53,25,1.640188e-02,1.506572e-03
84,3.357742e-01,1.599865e+00,6.799740e+01,33,53,25,1.647919e-02,1.559342e-03
85,3.363137e-01,1.604328e+00,6.693186e+01,33,53,25,1.611979e-02,1.380424e-03
86,3.368366e-01,1.628101e+00,6.663933e+01,33,53,25,1.608811e-02,1.292698e-03
87,3.373405e-01,1.701122e+00,7.073486e+01,33,53,25,1.611515e-02,1.358497e-03
88,3.377821e-01,1.692589e+00,6.831441e+01,32,54,24,1.590132e-02,1.376158e-03
89,3.380024e-01,1.692226e+00,6.793053e+01,33,53,24,1.557787e-02,1.302114e-03
90,3.379976e-01,1.687355e+00,6.789627e+01,33,53,24,1.566143e-02,1.305135e-03
91,3.377514e-01,1.675797e+00,6.743906e+01,33,53,24,1.543816e-02,1.246577e-03
92,3.371571e-01,1.657227e+00,6.696941e+01,33,53,24,1.544163e-02,1.425721e-03
93,3.361442e-01,1.643299e+00,6.666135e+01,33,53,24,1.537355e-02,1.494341e-03
94,3.347259e-01,1.627876e+00,6.659222e+01,33,53,25,1.544186e-02,1.654280e-03
95,3.329148e-01,1.614723e+00,6.613088e+01,33,53,24,1.508328e-02,1.616157e-03
96,3.307734e-01,1.586838e+00,6.483038e+01,33,53,24,1.487552e-02,1.621352e-03
97,3.283114e-01,1.559734e+00,6.384994e+01,33,53,24,1.465606e-02,1.478839e-03
98,3.256125e-01,1.534107e+00,6.301565e+01,33,53,24,1.436981e-02,1.408159e-03
99,3.227932e-01,1.522755e+00,6.240468e+01,33,53,24,1.439183e-02,1.491174e-03
100,3.212091e-01,1.543510e+00,6.390871e+01,32,53,24,1.415823e-02,1.433481e-03
101,3.203939e-01,1.538109e+00,6.345119e+01,32,53,24,1.367891e-02,1.189369e-03
102,3.192547e-01,1.520710e+00,6.279262e+01,33,52,25,1.353284e-02,1.216105e-03
103,3.178729e-01,1.512272e+00,6.238048e+01,32,53,24,1.366669e-02,1.239624e-03
104,3.162610e-01,1.486500e+00,6.189654e+01,32,53,24,1.362030e-02,1.210769e-03
105,3.144235e-01,1.437912e+00,6.109867e+01,32,53,24,1.349015e-02,1.141418e-03
106,3.123735e-01,1.393551e+00,6.006726e+01,32,53,24,1.358942e-02,1.303460e-03
107,3.101405e-01,1.364426e+00,5.906749e+01,32,53,24,1.380234e-02,1.483633e-03
108,3.077438e-01,1.330299e+00,5.827256e+01,33,52,25,1.353609e-02,1.491771e-03
109,3.052041e-01,1.293793e+00,5.689939e+01,33,52,25,1.348691e-02,1.431720e-03
110,3.025612e-01,1.254028e+00,5.468464e+01,33,52,24,1.336292e-02,1.330493e-03
111,2.998189e-01,1.230705e+00,5.432004e+01,32,52,24,1.320130e-02,1.283251e-03
112,2.979484e-01,1.256145e+00,5.690810e+01,32,52,24,1.294201e-02,1.268562e-03
113,2.960553e-01,1.275295e+00,5.623137e+01,32,52,24,1.267476e-02,1.120305e-03
114,2.941346e-01,1.296272e+00,5.409245e+01,32,52,24,1.250409e-02,1.087274e-03
115,2.921726e-01,1.279205e+00,5.293940e+01,32,52,24,1.249993e-02,1.113124e-03
116,2.901578e-01,1.263107e+00,5.201139e+01,32,52,24,1.244643e-02,1.081717e-03
117,2.880835e-01,1.232494e+00,5.097552e+01,32,52,24,1.227731e-02,1.107763e-03
118,2.859403e-01,1.210880e+00,4.961032e+01,32,52,24,1.245397e-02,1.199313e-03
119,2.837192e-01,1.198864e+00,4.770610e+01,33,51,25,1.247908e-02,1.292421e-03
120,2.814059e-01,1.179924e+00,4.557217e+01,33,51,24,1.204414e-02,1.123565e-03
121,2.789910e-01,1.145306e+00,4.476975e+01,32,51,24,1.188923e-02,1.130946e-03
122,2.764964e-01,1.142122e+00,4.561219e+01,32,51,24,1.173486e-02,1.004519e-03
123,2.739296e-01,1.182127e+00,4.898548e+01,32,51,24,1.187965e-02,1.060568e-03
124,2.713237e-01,1.148876e+00,4.567296e+01,32,51,24,1.180584e-02,9.771439e-04
125,2.686819e-01,1.100681e+00,4.454522e+01,32,51,24,1.178391e-02,9.799055e-04
126,2.660303e-01,1.065922e+00,4.385310e+01,32,51,24,1.167475e-02,9.401190e-04
127,2.635104e-01,1.035061e+00,4.353433e+01,32,51,24,1.164092e-02,1.036987e-03
128,2.620563e-01,1.015232e+00,4.300805e+01,32,51,24,1.156253e-02,1.040492e-03
129,2.605942e-01,1.004015e+00,4.189415e+01,32,51,24,1.141190e-02,1.083043e-03
130,2.591138e-01,9.928532e-01,3.984950e+01,32,50,24,1.126168e-02,9.890444e-04
131,2.576201e-01,9.632778e-01,3.992247e+01,32,50,24,1.129759e-02,1.021661e-03
132,2.728771e-01,1.002089e+00,4.392537e+01,32,50,24,1.109911e-02,9.245367e-04
133,2.789770e-01,9.488068e-01,3.950670e+01,32,50,24,1.096328e-02,9.204568e-04
134,2.804526e-01,9.753113e-01,3.880257e+01,32,50,24,1.096358e-02,8.298368e-04
135,2.801622e-01,9.582710e-01,3.766903e+01,32,50,24,1.103418e-02,9.125812e-04
136,2.786844e-01,9.692802e-01,3.785115e+01,32,50,24,1.107363e-02,9.683783e-04
137,2.763795e-01,9.617138e-01,3.781268e+01,32,50,24,1.093424e-02,9.215579e-04
138,2.736921e-01,9.553280e-01,3.585782e+01,33,49,25,1.086914e-02,9.178519e-04
139,2.731234e-01,9.499397e-01,3.502222e+01,33,49,24,1.062473e-02,8.302381e-04
140,2.754169e-01,9.344978e-01,3.588617e+01,32,49,24,1.063215e-02,8.324052e-04
141,2.876787e-01,9.685078e-01,3.774103e+01,32,49,24,1.061354e-02,8.202419e-04
142,2.907242e-01,8.965721e-01,3.762933e+01,35,47,25,1.051894e-02,8.160918e-04
143,2.907498e-01,9.135780e-01,3.676970e+01,35,47,25,1.045979e-02,8.132445e-04
144,2.894318e-01,8.769073e-01,3.659904e+01,35,47,25,1.052795e-02,8.568192e-04
145,2.871802e-01,8.747311e-01,3.537041e+01,32,49,24,1.052196e-02,8.315634e-04
146,2.860746e-01,8.726730e-01,3.626305e+01,32,49,24,1.050605e-02,9.194114e-04
147,2.858063e-01,8.779602e-01,3.603294e+01,33,48,25,1.041150e-02,8.613961e-04
148,2.914521e-01,8.720703e-01,3.527544e+01,33,48,24,1.035738e-02,8.223936e-04
149,2.973654e-01,8.590546e-01,3.538234e+01,33,48,24,1.029044e-02,8.583018e-04
150,2.999617e-01,8.334961e-01,3.549682e+01,33,47,25,1.016350e-02,7.529196e-04
151,2.998905e-01,8.131065e-01,3.578717e+01,35,46,25,1.016765e-02,7.159895e-04
152,2.981620e-01,8.347893e-01,3.697375e+01,35,46,25,1.029944e-02,8.226400e-04
