iter,u_fl,u_bd,u_in,div_fl,div_bd,div_in,p_fl,p_bd,p_in,nin,nbd
39,7.792205e-02,7.699011e-02,4.728901e-02,4.854212e-01,4.381080e+01,2.562760e+01,5.198591e+00,5.639148e+00,3.035344e+00,4964,5550
40,7.746009e-02,7.196223e-02,4.895940e-02,6.956253e-01,4.588239e+01,2.601935e+01,5.720489e+00,6.219431e+00,3.155848e+00,4960,5551
41,7.742383e-02,7.294796e-02,5.024834e-02,9.055405e-01,4.834908e+01,1.956237e+01,5.735973e+00,6.545028e+00,3.497702e+00,4969,5552
42,7.759748e-02,7.361622e-02,5.112087e-02,1.008339e+00,5.631806e+01,1.338035e+01,5.858187e+00,6.797378e+00,3.913797e+00,4971,5545
43,7.758041e-02,7.434165e-02,5.165444e-02,6.212084e-01,8.642039e+01,1.341993e+01,6.297409e+00,7.186460e+00,4.083632e+00,4984,5510
44,7.757837e-02,7.490019e-02,5.182075e-02,9.702749e-01,7.447934e+01,1.410024e+01,7.225258e+00,7.981552e+00,4.200221e+00,4987,5512
45,7.730155e-02,7.494009e-02,5.461893e-02,1.140072e+00,6.178608e+01,1.559758e+01,8.058748e+00,8.463845e+00,4.236866e+00,4982,5519
46,7.667328e-02,7.331488e-02,5.696844e-02,6.786246e-01,5.910903e+01,1.677018e+01,8.536705e+00,9.097377e+00,4.730907e+00,4983,5519
47,7.640001e-02,7.208605e-02,5.889677e-02,6.734161e-01,7.011366e+01,1.765641e+01,8.790683e+00,9.548670e+00,5.087441e+00,4986,5506
48,7.707581e-02,7.429455e-02,6.075120e-02,6.953096e-01,6.411105e+01,1.834379e+01,8.936853e+00,9.896366e+00,5.265407e+00,4987,5482
49,7.801712e-02,7.715919e-02,6.264775e-02,7.270832e-01,1.111695e+02,1.885649e+01,9.305594e+00,1.053018e+01,5.315401e+00,4979,5504
50,7.923492e-02,8.028074e-02,6.211669e-02,7.614155e-01,1.031223e+02,2.311237e+01,1.048030e+01,1.132398e+01,5.448092e+00,4979,5483
51,8.080557e-02,8.362189e-02,6.070189e-02,7.948799e-01,9.996912e+01,2.580419e+01,1.065911e+01,1.152273e+01,5.505784e+00,4982,5490
52,8.293821e-02,8.717077e-02,5.922442e-02,8.608799e-01,8.584377e+01,4.320034e+01,1.074602e+01,1.168974e+01,5.752110e+00,4986,5501
53,8.940377e-02,9.082336e-02,6.155004e-02,9.822407e-01,8.277284e+01,4.613387e+01,1.149804e+01,1.235710e+01,5.900932e+00,4993,5497
54,9.468247e-02,9.508343e-02,6.073316e-02,9.626503e-01,7.226292e+01,2.005335e+01,1.245969e+01,1.297869e+01,5.869827e+00,4997,5464
55,9.858867e-02,9.746444e-02,6.132522e-02,1.090408e+00,7.370189e+01,2.009536e+01,1.212864e+01,1.347154e+01,5.878262e+00,4994,5485
56,9.971744e-02,9.615683e-02,6.509613e-02,1.016151e+00,9.891464e+01,2.007806e+01,1.297198e+01,1.401043e+01,5.677200e+00,4982,5477
57,1.037405e-01,9.950837e-02,6.633029e-02,1.008213e+00,9.837862e+01,2.008398e+01,1.333365e+01,1.434833e+01,5.718268e+00,4978,5492
58,1.044603e-01,1.018212e-01,6.653579e-02,9.722633e-01,9.245327e+01,6.600060e+01,1.308149e+01,1.416817e+01,5.631497e+00,4987,5464
59,1.028087e-01,1.027815e-01,6.473164e-02,9.822845e-01,6.072975e+01,6.232217e+01,1.344087e+01,1.564870e+01,4.164384e+00,4990,5479
60,1.056093e-01,1.011369e-01,6.526002e-02,9.810371e-01,6.427541e+01,5.786372e+01,1.345480e+01,1.543765e+01,4.220012e+00,4982,5504
61,1.092290e-01,9.950889e-02,6.525131e-02,9.831581e-01,6.311813e+01,5.308745e+01,1.431775e+01,1.553949e+01,3.853550e+00,4987,5504
62,1.064496e-01,9.425081e-02,6.629594e-02,1.000984e+00,6.310640e+01,2.660997e+01,1.365565e+01,1.398766e+01,3.766631e+00,4999,5463
63,1.028975e-01,9.987285e-02,6.703020e-02,1.047935e+00,6.310674e+01,2.730932e+01,1.300626e+01,1.571996e+01,3.616115e+00,4992,5511
64,1.034089e-01,9.754294e-02,6.700280e-02,1.024422e+00,6.795386e+01,2.788755e+01,1.267665e+01,1.644153e+01,3.481130e+00,4997,5485
65,9.908579e-02,8.144163e-02,6.923372e-02,9.821815e-01,7.467043e+01,2.860386e+01,1.272286e+01,1.304408e+01,3.404457e+00,4984,5494
66,9.652691e-02,8.604062e-02,6.955854e-02,9.720612e-01,1.117915e+02,2.930939e+01,1.172922e+01,1.357673e+01,3.302896e+00,4991,5447
67,9.329572e-02,8.412678e-02,6.864387e-02,9.564743e-01,9.433381e+01,3.005507e+01,1.133729e+01,1.457397e+01,3.160912e+00,4988,5485
68,9.028587e-02,8.453897e-02,6.823497e-02,8.655114e-01,9.690860e+01,2.551043e+01,1.176598e+01,1.213214e+01,3.012465e+00,4998,5462
69,9.293973e-02,8.825015e-02,6.754731e-02,8.737869e-01,1.033614e+02,2.610549e+01,1.065919e+01,1.217004e+01,2.994585e+00,4998,5490
70,9.637305e-02,9.099952e-02,7.170440e-02,8.571434e-01,9.056909e+01,2.667811e+01,9.745639e+00,1.238689e+01,2.972847e+00,4990,5512
71,9.942746e-02,9.338854e-02,7.097998e-02,8.286171e-01,8.704559e+01,2.722491e+01,1.003571e+01,1.101863e+01,2.737728e+00,4993,5514
72,1.018804e-01,9.491770e-02,6.237176e-02,9.532719e-01,8.784949e+01,3.316846e+01,8.995728e+00,1.130658e+01,2.639767e+00,5009,5475
73,1.037039e-01,9.701660e-02,6.748137e-02,6.708412e-01,9.683746e+01,3.275819e+01,8.862116e+00,1.130140e+01,2.435431e+00,5012,5483
74,1.056985e-01,9.958512e-02,6.660793e-02,9.054813e-01,9.179594e+01,3.211399e+01,8.782333e+00,9.531885e+00,2.590502e+00,5031,5431
75,1.079181e-01,9.935997e-02,6.533562e-02,7.542143e-01,8.539376e+01,3.136313e+01,8.379957e+00,1.034836e+01,2.554034e+00,5023,5412
76,1.097865e-01,1.006354e-01,7.002878e-02,6.183205e-01,7.896088e+01,3.056360e+01,8.098772e+00,1.059812e+01,2.385536e+00,5034,5396
77,1.106813e-01,1.026729e-01,6.646314e-02,7.933731e-01,7.878857e+01,2.970810e+01,7.862807e+00,8.899382e+00,2.345577e+00,5012,5438
78,1.105650e-01,1.018224e-01,6.621085e-02,9.662971e-01,7.011813e+01,2.880297e+01,7.732763e+00,9.269891e+00,2.350636e+00,5016,5456
79,1.119343e-01,1.022843e-01,6.737108e-02,5.617669e-01,7.068067e+01,2.785241e+01,7.248261e+00,9.378482e+00,2.373250e+00,5001,5513
80,1.133252e-01,1.032794e-01,6.846271e-02,5.488987e-01,7.385608e+01,2.686461e+01,7.092452e+00,7.987391e+00,2.477775e+00,4974,5495
81,1.146784e-01,1.024984e-01,6.940550e-02,9.736328e-01,6.326314e+01,2.585617e+01,6.916412e+00,8.175812e+00,2.569203e+00,4954,5529
82,1.158147e-01,1.024243e-01,7.020428e-02,5.284958e-01,6.280501e+01,2.482145e+01,6.435742e+00,7.991713e+00,2.421721e+00,4954,5543
83,1.166350e-01,1.030739e-01,7.110785e-02,4.982529e-01,5.093179e+01,3.090977e+01,6.205889e+00,6.782952e+00,2.450845e+00,4953,5529
84,1.171032e-01,1.015514e-01,6.999739e-02,4.355659e-01,5.394551e+01,3.105173e+01,6.065369e+00,7.121935e+00,2.196930e+00,4956,5552
85,1.177621e-01,1.014722e-01,7.066139e-02,3.615046e-01,4.851598e+01,2.160899e+01,5.741461e+00,6.414762e+00,2.310204e+00,4964,5574
86,1.185330e-01,1.019493e-01,7.123988e-02,2.872086e-01,4.372829e+01,1.994692e+01,5.490590e+00,5.680940e+00,2.336963e+00,4990,5506
87,1.190651e-01,9.937316e-02,7.176898e-02,3.988113e-01,7.013459e+01,2.554321e+01,5.419250e+00,5.875830e+00,2.385391e+00,5009,5442
88,1.190757e-01,9.841562e-02,7.230276e-02,2.400818e-01,7.052341e+01,2.552585e+01,5.189873e+00,5.674681e+00,2.384341e+00,4986,5491
89,1.183009e-01,9.886356e-02,7.282337e-02,7.857723e-01,6.367993e+01,2.547762e+01,4.892485e+00,4.631580e+00,2.287629e+00,4993,5487
90,1.187176e-01,9.890885e-02,7.307105e-02,2.882137e-01,6.070305e+01,2.540000e+01,4.822956e+00,4.283450e+00,2.320910e+00,5020,5431
91,1.189097e-01,9.587877e-02,7.084792e-02,2.969561e-01,5.344569e+01,2.528904e+01,4.865469e+00,4.819764e+00,2.136467e+00,5012,5377
92,1.184852e-01,9.403264e-02,7.051284e-02,5.812459e-01,5.468256e+01,2.513823e+01,4.734809e+00,4.367309e+00,2.214042e+00,5017,5442
