iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
48,7.489602e-02,6.411105e+01,9.896366e+00,22,69,34,3.910224e-04,5.583189e-05,1.029912e-06,5.553033e-05
49,7.707886e-02,1.111695e+02,1.053018e+01,21,69,34,4.005395e-04,6.160461e-05,1.071688e-06,6.124493e-05
50,8.010454e-02,1.031223e+02,1.132398e+01,21,69,34,4.078822e-04,6.737981e-05,1.112706e-06,6.695980e-05
51,8.334816e-02,9.996912e+01,1.152273e+01,21,69,34,4.148291e-04,7.250036e-05,1.147235e-06,7.201856e-05
52,8.685588e-02,8.584377e+01,1.168974e+01,19,70,34,4.240800e-04,7.678002e-05,1.177921e-06,7.623670e-05
53,9.059285e-02,8.277284e+01,1.235710e+01,19,67,34,4.302560e-04,8.056757e-05,1.197893e-06,7.997212e-05
54,9.503185e-02,7.226292e+01,1.297869e+01,19,67,34,4.295791e-04,8.439199e-05,1.239779e-06,8.374367e-05
55,9.851071e-02,7.370189e+01,1.347154e+01,18,67,34,4.244067e-04,8.743886e-05,1.275237e-06,8.675094e-05
56,9.960507e-02,9.891464e+01,1.401043e+01,18,67,35,4.175648e-04,8.853478e-05,1.252025e-06,8.783687e-05
57,1.030097e-01,9.837862e+01,1.434833e+01,18,67,35,4.126638e-04,8.957259e-05,1.290515e-06,8.882298e-05
58,1.039273e-01,9.245327e+01,1.416817e+01,17,67,36,4.033148e-04,8.912156e-05,1.298456e-06,8.834642e-05
59,1.023890e-01,6.232217e+01,1.564870e+01,14,70,31,3.940041e-04,8.904342e-05,1.340213e-06,8.823790e-05
60,1.032218e-01,6.427541e+01,1.543765e+01,14,70,35,3.802844e-04,8.688012e-05,1.315405e-06,8.609390e-05
61,1.081063e-01,6.311813e+01,1.553949e+01,13,70,36,3.673332e-04,8.507384e-05,1.332345e-06,8.428461e-05
62,1.057974e-01,6.310640e+01,1.398766e+01,14,69,29,3.529038e-04,8.305950e-05,1.377637e-06,8.222144e-05
63,1.025774e-01,6.310674e+01,1.571996e+01,14,69,32,3.382856e-04,8.041674e-05,1.402476e-06,7.956789e-05
64,1.019926e-01,6.795386e+01,1.644153e+01,13,69,34,3.245448e-04,7.699521e-05,1.405728e-06,7.615709e-05
65,9.885658e-02,7.467043e+01,1.304408e+01,13,69,34,3.104826e-04,7.401389e-05,1.400245e-06,7.316747e-05
66,9.583247e-02,1.117915e+02,1.357673e+01,14,68,31,2.965256e-04,7.101615e-05,1.431904e-06,7.014524e-05
67,9.199064e-02,9.433381e+01,1.457397e+01,13,68,32,2.815274e-04,6.726947e-05,1.454392e-06,6.640176e-05
68,8.814339e-02,9.690860e+01,1.213214e+01,12,68,40,2.681385e-04,6.412801e-05,1.445916e-06,6.326949e-05
69,8.751735e-02,1.033614e+02,1.217004e+01,13,67,29,2.544922e-04,6.097442e-05,1.445538e-06,6.011818e-05
70,9.026650e-02,9.056909e+01,1.238689e+01,13,67,34,2.403860e-04,5.683829e-05,1.460390e-06,5.598710e-05
71,9.307063e-02,8.704559e+01,1.101863e+01,12,67,40,2.284120e-04,5.345047e-05,1.453216e-06,5.259793e-05
72,9.521705e-02,8.784949e+01,1.130658e+01,13,66,29,2.166941e-04,5.098446e-05,1.456919e-06,5.012681e-05
73,9.708862e-02,9.683746e+01,1.130140e+01,12,66,40,2.033375e-04,4.733220e-05,1.473679e-06,4.649347e-05
