iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
2,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00,0.000000e+00,0.000000e+00
3,8.963256e-04,6.999429e-01,7.436091e-01,23,66,34,8.900288e-06,1.645908e-06,9.135315e-09,1.636773e-06
4,2.877667e-03,1.925368e+00,2.126108e+00,23,66,34,2.714851e-05,5.368194e-06,3.584501e-08,5.332350e-06
5,5.548926e-03,4.669906e-01,3.782333e+00,23,66,34,5.132137e-05,8.856599e-06,5.480722e-08,8.801797e-06
6,8.770963e-03,5.040123e-01,4.352072e+00,18,64,31,6.701171e-05,1.037682e-05,9.257177e-08,1.028426e-05
7,1.293884e-02,5.415652e-01,5.279525e+00,19,64,31,8.205537e-05,1.222145e-05,1.312034e-07,1.209031e-05
8,1.717919e-02,5.963256e-01,6.087476e+00,20,64,36,9.649726e-05,1.867645e-05,1.654219e-07,1.851125e-05
9,2.148273e-02,6.022239e-01,6.252250e+00,20,64,36,1.014447e-04,1.829852e-05,1.890906e-07,1.810996e-05
10,2.532780e-02,4.723363e-01,5.962404e+00,20,64,34,1.113519e-04,1.842795e-05,2.054813e-07,1.822377e-05
11,2.882667e-02,4.467704e-01,5.715165e+00,21,64,35,1.147091e-04,1.764178e-05,2.150809e-07,1.742822e-05
12,3.243839e-02,5.852227e-01,5.700953e+00,21,66,34,1.156044e-04,1.771216e-05,2.260638e-07,1.748708e-05
13,3.732949e-02,1.006155e+00,6.087246e+00,20,66,34,1.151050e-04,1.920488e-05,2.520634e-07,1.895329e-05
14,4.392664e-02,1.999895e+00,6.698795e+00,20,66,34,1.233132e-04,2.292330e-05,3.067907e-07,2.261704e-05
