iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max,visc_lin_max,pres_lin_max
48,8.626809e-02,9.760821e+00,1.503696e+01,19,68,34,2.801998e-04,5.572540e-05,9.475410e-07,5.532585e-05
49,9.036957e-02,7.949889e+00,1.431930e+01,21,69,34,2.764337e-04,5.248728e-05,9.739883e-07,5.202123e-05
50,9.436865e-02,6.243958e+00,1.488631e+01,18,68,35,2.756014e-04,5.538600e-05,1.005937e-06,5.485465e-05
51,9.870388e-02,1.329187e+01,1.593100e+01,18,68,35,2.803524e-04,6.410502e-05,1.044947e-06,6.350027e-05
52,1.651678e-01,1.387206e+03,1.173187e+02,51,59,31,2.707585e-04,7.236367e-05,1.073713e-06,7.168252e-05
53,1.595325e-01,1.238923e+03,2.101025e+01,51,59,31,3.036163e-04,8.418195e-05,1.069910e-06,8.344879e-05
54,1.432602e-01,1.107778e+03,1.820938e+01,14,71,35,2.930409e-04,7.029355e-05,1.122026e-06,6.948942e-05
55,1.190658e-01,7.929993e+00,7.631226e+01,51,59,31,3.328837e-04,6.868933e-05,1.207635e-06,6.782894e-05
56,1.190100e-01,8.467228e+00,1.731532e+01,14,71,34,2.806515e-04,7.443822e-05,1.174424e-06,7.357282e-05
57,1.270454e-01,9.090528e+00,1.917525e+01,13,71,37,2.517494e-04,7.245567e-05,1.223921e-06,7.154989e-05
58,1.291103e-01,5.443731e+01,1.864416e+01,13,71,37,2.406453e-04,7.359686e-05,1.279332e-06,7.265501e-05
59,1.269158e-01,8.544278e+00,2.200678e+01,14,70,32,2.227774e-04,7.093642e-05,1.263436e-06,6.997342e-05
60,1.252023e-01,5.046577e+00,2.319454e+01,14,70,32,2.272773e-04,6.532912e-05,1.346407e-06,6.431957e-05
61,1.348091e-01,4.704633e+00,2.474097e+01,13,70,35,2.125412e-04,6.011536e-05,1.313025e-06,5.913343e-05
62,1.320486e-01,5.362797e+00,2.123842e+01,13,70,34,2.032208e-04,5.568154e-05,1.359253e-06,5.469760e-05
63,1.255129e-01,6.295843e+00,1.951567e+01,14,69,30,1.868661e-04,5.301034e-05,1.369742e-06,5.200607e-05
64,1.218186e-01,8.709564e+00,2.068225e+01,13,69,32,1.808398e-04,5.428916e-05,1.360893e-06,5.329207e-05
65,1.187376e-01,8.401113e+00,2.085565e+01,13,69,32,1.623878e-04,4.621713e-05,1.394553e-06,4.524491e-05
66,1.148420e-01,9.133239e+00,1.727004e+01,12,69,40,1.685648e-04,4.882743e-05,1.394923e-06,4.788145e-05
67,1.147955e-01,9.720573e+00,1.559774e+01,13,68,29,1.531445e-04,4.414631e-05,1.399658e-06,4.317065e-05
68,1.129186e-01,1.032712e+01,1.700096e+01,13,68,33,1.445820e-04,4.331325e-05,1.425563e-06,4.236836e-05
69,1.101178e-01,8.305888e+00,1.685939e+01,12,68,40,1.332300e-04,3.993692e-05,1.417066e-06,3.902928e-05
70,1.128635e-01,5.752549e+00,1.440148e+01,14,67,43,1.169537e-04,3.440239e-05,1.419343e-06,3.347485e-05
71,1.149594e-01,7.141594e+02,4.994039e+01,51,68,34,1.187138e-04,3.673779e-05,1.422119e-06,3.586441e-05
72,1.179813e-01,1.425109e+02,5.184694e+01,51,68,34,1.285717e-04,2.756079e-05,1.416317e-06,2.673355e-05
73,1.190238e-01,6.301432e+00,1.359022e+01,14,66,43,1.118403e-04,2.774333e-05,1.423406e-06,2.687859e-05
74,1.194538e-01,5.884581e+00,1.303967e+01,13,66,43,9.709579e-05,2.768869e-05,1.413769e-06,2.682534e-05
75,1.217656e-01,5.148187e+00,1.214309e+01,12,66,42,8.728336e-05,2.350255e-05,1.407054e-06,2.271502e-05
76,1.230785e-01,6.958022e+00,1.238869e+01,14,65,43,8.439059e-05,2.261130e-05,1.407081e-06,2.180358e-05
