iter,umax,divmax,pmax,pargmax_i,pargmax_j,pargmax_k,force_lin_sum,force_lin_max
0,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
1,0.000000e+00,0.000000e+00,0.000000e+00,0,0,0,0.000000e+00,0.000000e+00
2,2.274863e-01,7.483652e+00,8.864522e+02,68,50,27,4.992991e-01,4.616916e-02
3,3.542991e-01,8.734253e+00,6.508740e+02,68,50,27,4.247814e-01,3.436834e-02
4,4.236633e-01,9.731216e+00,4.515025e+02,31,50,24,1.602726e-01,1.337704e-02
5,5.351718e-01,1.252639e+01,4.303930e+02,32,50,25,2.179686e-01,1.284735e-02
6,5.867431e-01,1.249090e+01,3.591050e+02,31,51,24,1.513669e-01,1.005688e-02
7,5.810022e-01,1.455045e+01,3.104971e+02,73,46,27,2.096918e-01,1.466533e-02
8,5.676942e-01,1.629845e+01,1.939246e+02,31,51,24,9.740152e-02,7.338844e-03
9,5.614922e-01,1.738771e+01,1.942994e+02,31,51,24,1.055984e-01,6.972267e-03
10,5.856723e-01,1.936796e+01,1.960815e+02,30,52,24,6.985608e-02,5.007621e-03
11,5.884510e-01,2.213667e+01,1.823826e+02,29,50,26,6.450325e-02,4.076141e-03
12,5.786378e-01,2.463870e+01,1.606536e+02,32,50,22,6.522680e-02,3.955154e-03
13,5.675215e-01,2.656031e+01,1.465977e+02,28,51,25,3.649637e-02,2.003731e-03
14,5.615288e-01,2.862766e+01,1.500166e+02,29,51,26,4.939052e-02,2.771108e-03
15,5.540249e-01,3.103868e+01,1.398081e+02,29,51,26,2.289093e-02,2.254599e-03
16,5.454149e-01,3.352357e+01,1.303634e+02,29,51,26,2.142546e-02,1.703127e-03
17,5.388126e-01,3.535998e+01,1.122964e+02,30,51,27,1.557387e-02,1.072736e-03
18,5.333256e-01,3.987234e+01,1.162477e+02,29,52,26,3.396251e-02,1.950505e-03
19,5.295205e-01,5.289326e+01,1.051094e+02,29,52,26,3.082060e-02,1.809565e-03
20,5.269683e-01,1.883444e+01,1.099646e+02,28,52,22,3.138051e-02,1.685780e-03
21,5.237067e-01,2.476323e+01,9.349093e+01,30,52,27,2.382894e-02,1.468385e-03
22,5.198439e-01,3.378558e+01,9.491042e+01,30,52,27,3.557719e-02,2.715493e-03
23,5.158551e-01,4.987250e+01,9.683163e+01,115,47,22,3.852463e-02,2.688190e-03
24,5.141889e-01,4.045339e+01,9.065464e+01,28,53,22,4.766637e-02,3.647739e-03
25,5.128267e-01,3.449316e+01,7.425916e+01,28,53,22,3.253890e-02,1.970608e-03
26,5.124460e-01,3.619364e+01,5.898257e+01,28,54,22,2.590952e-02,1.312809e-03
27,5.128468e-01,2.975520e+01,5.724565e+01,28,53,22,2.754371e-02,1.360271e-03
28,5.130495e-01,2.439580e+01,5.431197e+01,28,52,22,2.969056e-02,1.631394e-03
29,5.117160e-01,2.009968e+01,5.239939e+01,28,52,22,2.912569e-02,1.611620e-03
30,5.083960e-01,1.666756e+01,4.945354e+01,28,52,22,2.771908e-02,1.563598e-03
31,5.032220e-01,1.472363e+01,4.598366e+01,28,52,22,2.731939e-02,1.556440e-03
32,4.965077e-01,1.326802e+01,4.386141e+01,41,51,26,2.804738e-02,1.602174e-03
33,4.891184e-01,1.187703e+01,4.288597e+01,41,51,26,2.784113e-02,1.580217e-03
34,4.888148e-01,1.057485e+01,4.283342e+01,41,51,26,2.772200e-02,1.563679e-03
35,4.881301e-01,9.382700e+00,4.108940e+01,42,51,26,2.697235e-02,1.554027e-03
36,4.867794e-01,8.305607e+00,3.966838e+01,40,52,25,2.691113e-02,1.595358e-03
37,4.847851e-01,7.349852e+00,4.232529e+01,40,52,25,2.699877e-02,1.479618e-03
38,4.815763e-01,6.507562e+00,4.166423e+01,40,52,25,2.666246e-02,1.443014e-03
39,4.769945e-01,5.770834e+00,4.238088e+01,33,53,25,2.685671e-02,1.447004e-03
40,4.708909e-01,5.130968e+00,4.482633e+01,40,52,25,2.818171e-02,1.533996e-03
41,4.667435e-01,4.571488e+00,4.342895e+01,40,52,25,2.685509e-02,1.469404e-03
42,4.659341e-01,4.082742e+00,4.184998e+01,40,52,25,2.562269e-02,1.483535e-03
43,4.643822e-01,3.654031e+00,4.462382e+01,40,52,25,2.720886e-02,1.577321e-03
44,4.618511e-01,3.276670e+00,4.488751e+01,32,54,24,2.665101e-02,1.552620e-03
45,4.582773e-01,2.945182e+00,4.600665e+01,32,54,25,2.663213e-02,1.593300e-03
46,4.536180e-01,2.655537e+00,4.631171e+01,40,52,25,2.756313e-02,1.524299e-03
47,4.480005e-01,2.397912e+00,4.554103e+01,34,53,25,2.648565e-02,1.527350e-03
48,4.417332e-01,2.168940e+00,4.735624e+01,31,55,24,2.611209e-02,1.505547e-03
49,4.394629e-01,1.964616e+00,4.767252e+01,31,55,24,2.632999e-02,1.575079e-03
50,4.387088e-01,1.782692e+00,4.869419e+01,34,53,25,2.592213e-02,1.556537e-03
51,4.373560e-01,1.635011e+00,5.008996e+01,34,53,25,2.570708e-02,1.497986e-03
52,4.355611e-01,1.486961e+00,5.236695e+01,34,53,25,2.578621e-02,1.450587e-03
53,4.331865e-01,1.352375e+00,5.358374e+01,33,54,25,2.491916e-02,1.426258e-03
54,4.301004e-01,1.352650e+00,5.325462e+01,33,54,25,2.453014e-02,1.422058e-03
55,4.263607e-01,1.358252e+00,5.295084e+01,33,54,25,2.450403e-02,1.384235e-03
56,4.220518e-01,1.366264e+00,5.371910e+01,33,54,25,2.446348e-02,1.416342e-03
57,4.172278e-01,1.375641e+00,5.451445e+01,33,54,25,2.418800e-02,1.393894e-03
58,4.119153e-01,1.387497e+00,5.549648e+01,33,54,25,2.363937e-02,1.391615e-03
59,4.062018e-01,1.391579e+00,5.623985e+01,33,54,25,2.325633e-02,1.391340e-03
60,4.001442e-01,1.388573e+00,5.673098e+01,33,54,25,2.316673e-02,1.481063e-03
61,3.940383e-01,1.376774e+00,5.566078e+01,33,54,25,2.320735e-02,1.470107e-03
62,3.932566e-01,1.367874e+00,5.587686e+01,33,54,25,2.286500e-02,1.421604e-03
63,3.922026e-01,1.384777e+00,5.729152e+01,33,54,25,2.292476e-02,1.444322e-03
64,3.908635e-01,1.406494e+00,5.876764e+01,33,54,25,2.299533e-02,1.472347e-03
65,3.891755e-01,1.426628e+00,5.997930e+01,33,54,25,2.281988e-02,1.445323e-03
66,3.869927e-01,1.446396e+00,6.093696e+01,33,54,25,2.275835e-02,1.467765e-03
67,3.843861e-01,1.449760e+00,6.161211e+01,33,54,25,2.263712e-02,1.477123e-03
68,3.813600e-01,1.465515e+00,6.215244e+01,33,54,25,2.248461e-02,1.402515e-03
69,3.780539e-01,1.479912e+00,6.267349e+01,33,54,25,2.221452e-02,1.459246e-03
70,3.745348e-01,1.497456e+00,6.206307e+01,33,54,25,2.274672e-02,1.490367e-03
71,3.708558e-01,1.512840e+00,6.301231e+01,33,54,25,2.244031e-02,1.506441e-03
72,3.670460e-01,1.521656e+00,6.349832e+01,33,54,25,2.203749e-02,1.553540e-03
73,3.631343e-01,1.523315e+00,6.372646e+01,33,54,25,2.143459e-02,1.398981e-03
74,3.591322e-01,1.525494e+00,6.392878e+01,33,54,25,2.129593e-02,1.402746e-03
75,3.550567e-01,1.541962e+00,6.463243e+01,33,54,25,2.104585e-02,1.511415e-03
76,3.509168e-01,1.555058e+00,6.536971e+01,33,54,25,2.074806e-02,1.541268e-03
77,3.467123e-01,1.555618e+00,6.615714e+01,33,54,25,2.049103e-02,1.556078e-03
78,3.433230e-01,1.549538e+00,6.571836e+01,33,54,25,2.085466e-02,1.666605e-03
79,3.403876e-01,1.542995e+00,6.679659e+01,33,54,25,2.020834e-02,1.700306e-03
80,3.375238e-01,1.528633e+00,6.668957e+01,33,54,25,1.970762e-02,1.689914e-03
81,3.369613e-01,1.521801e+00,6.673561e+01,33,54,25,1.938070e-02,1.649756e-03
82,3.374580e-01,1.513981e+00,6.712537e+01,33,54,25,1.908502e-02,1.676174e-03
83,3.380358e-01,1.523842e+00,6.757383e+01,33,54,24,1.917142e-02,1.615092e-03
84,3.386530e-01,1.528931e+00,6.846342e+01,33,54,24,1.932377e-02,1.618011e-03
85,3.392722e-01,1.530834e+00,6.811940e+01,34,53,25,1.892793e-02,1.518165e-03
86,3.397134e-01,1.533978e+00,6.839989e+01,33,53,25,1.888470e-02,1.444854e-03
